Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,3.71875,4.25,3.6875,4.1875,1.4420231580734253,1880800,0.0,0.0
1985-02-01,4.4375,4.875,4.4375,4.59375,1.5819209814071655,2318400,0.0,0.0
1985-03-01,4.625,4.8125,4.59375,4.59375,1.5819209814071655,565600,0.0,0.0
1985-04-01,4.59375,5.3125,4.5625,5.1875,1.7863869667053223,1206400,0.0,0.0
1985-05-01,5.1875,5.53125,5.1875,5.46875,1.8832412958145142,547200,0.0,0.0
1985-06-01,5.53125,5.625,5.125,5.125,1.7648656368255615,928000,0.0,0.0
1985-07-01,5.125,5.25,4.75,4.875,1.6787745952606201,1478400,0.0,0.0
1985-08-01,4.875,4.9375,4.78125,4.78125,1.6464893817901611,1208000,0.0,0.0
1985-09-01,4.875,4.875,4.296875,4.3125,1.485069751739502,2344000,0.0,0.0
1985-10-01,4.328125,5.34375,4.3125,5.1875,1.7863869667053223,2360800,0.0,0.0
1985-11-01,5.25,6.25,5.21875,5.90625,2.033900022506714,3063200,0.0,0.0
1985-12-01,6.0,6.125,5.90625,6.03125,2.0769450664520264,580000,0.0,0.0
1986-01-01,6.03125,6.71875,5.9375,6.625,2.281409502029419,804800,0.0,0.0
1986-02-01,6.65625,7.125,6.59375,7.03125,2.4213075637817383,826400,0.0,0.0
1986-03-01,7.0625,7.0625,6.375,6.8125,2.345978021621704,759200,0.0,0.0
1986-04-01,6.8125,7.1875,6.375,6.375,2.195319175720215,762400,0.0,0.0
1986-05-01,6.375,6.5625,5.625,6.4375,2.216841220855713,2728000,0.0,0.0
1986-06-01,6.40625,6.4375,6.125,6.34375,2.184558629989624,1028000,0.0,0.0
1986-07-01,6.34375,6.875,6.15625,6.75,2.3244569301605225,3317200,0.0,2.0
1986-08-01,6.75,7.625,6.5,7.25,2.4966371059417725,1370800,0.0,0.0
1986-09-01,7.25,8.3125,7.0,7.375,2.5396833419799805,4284000,0.0,0.0
1986-10-01,7.375,7.75,7.1875,7.5625,2.60425066947937,2269600,0.0,0.0
1986-11-01,7.5625,7.75,6.875,7.3125,2.5181612968444824,4100400,0.0,0.0
1986-12-01,7.1875,7.5625,6.3125,6.5625,2.2598867416381836,6344400,0.0,0.0
1987-01-01,6.5625,7.75,6.4375,6.75,2.3244569301605225,3183600,0.0,0.0
1987-02-01,6.75,7.3125,6.25,7.0,2.4105477333068848,2199600,0.0,0.0
1987-03-01,7.0,7.25,5.875,6.0625,2.087704658508301,8367600,0.0,0.0
1987-04-01,6.0625,6.0625,4.75,4.9375,1.70029616355896,4404400,0.0,0.0
1987-05-01,4.9375,5.25,4.75,5.25,1.8079112768173218,3697200,0.0,0.0
1987-06-01,5.25,5.3125,5.0,5.15625,1.7756260633468628,2004800,0.0,0.0
1987-07-01,5.15625,5.3125,4.9375,5.3125,1.8294334411621094,2366800,0.0,0.0
1987-08-01,5.3125,5.375,5.1875,5.34375,1.8401944637298584,1331200,0.0,0.0
1987-09-01,5.34375,5.375,5.125,5.25,1.8079112768173218,430400,0.0,0.0
1987-10-01,5.25,5.25,4.125,4.375,1.5065925121307373,3070000,0.0,0.0
1987-11-01,4.375,4.4375,3.75,4.125,1.4205005168914795,1188000,0.0,0.0
1987-12-01,4.125,4.4375,3.96875,4.34375,1.4958306550979614,1993600,0.0,0.0
1988-01-01,4.375,4.5,3.8125,3.84375,1.323648452758789,736800,0.0,0.0
1988-02-01,3.78125,3.78125,3.46875,3.6875,1.2698416709899902,916400,0.0,0.0
1988-03-01,3.6875,3.84375,3.59375,3.625,1.2483185529708862,415200,0.0,0.0
1988-04-01,3.5625,3.8125,3.5625,3.75,1.2913646697998047,806800,0.0,0.0
1988-05-01,3.8125,4.21875,3.8125,4.1875,1.4420231580734253,744000,0.0,0.0
1988-06-01,4.1875,4.59375,4.15625,4.59375,1.5819209814071655,347200,0.0,0.0
1988-07-01,4.625,4.71875,4.28125,4.3125,1.485069751739502,732400,0.0,0.0
1988-08-01,4.3125,4.53125,4.3125,4.34375,1.4958306550979614,486400,0.0,0.0
1988-09-01,4.34375,4.34375,4.15625,4.3125,1.485069751739502,449200,0.0,0.0
1988-10-01,4.3125,4.40625,4.125,4.25,1.4635462760925293,1068800,0.0,0.0
1988-11-01,4.3125,4.78125,4.3125,4.40625,1.5173531770706177,2064400,0.0,0.0
1988-12-01,4.4375,4.46875,3.96875,4.1875,1.4420231580734253,846000,0.03,0.0
1989-01-01,4.1875,4.40625,4.03125,4.40625,1.5288194417953491,712400,0.0,0.0
1989-02-01,4.34375,4.5625,4.28125,4.5625,1.5830333232879639,804400,0.0,0.0
1989-03-01,4.5625,4.625,4.40625,4.46875,1.550504446029663,688400,0.0325,0.0
1989-04-01,4.4375,4.96875,4.4375,4.90625,1.7146867513656616,991600,0.0,0.0
1989-05-01,4.875,4.96875,4.75,4.90625,1.7146867513656616,698400,0.0,0.0
1989-06-01,4.9375,5.0625,4.875,5.0,1.7474515438079834,792400,0.0325,0.0
1989-07-01,4.96875,5.75,4.96875,5.75,2.0225539207458496,588000,0.0,0.0
1989-08-01,5.8125,6.1875,5.59375,5.59375,1.967592477798462,758400,0.0,0.0
1989-09-01,5.5625,5.75,5.375,5.75,2.0225539207458496,3296000,0.0325,0.0
1989-10-01,5.78125,6.625,5.71875,5.90625,2.0899343490600586,661200,0.0,0.0
1989-11-01,5.875,6.46875,5.875,6.28125,2.2226274013519287,651600,0.0,0.0
1989-12-01,6.3125,6.4375,6.09375,6.15625,2.1783971786499023,362800,0.0325,0.0
1990-01-01,6.125,6.1875,5.53125,5.53125,1.9675216674804688,538000,0.0,0.0
1990-02-01,5.59375,5.8125,5.53125,5.71875,2.0342178344726562,339600,0.0,0.0
1990-03-01,5.78125,6.25,5.75,5.8125,2.067565441131592,595600,0.0375,0.0
1990-04-01,5.75,5.84375,5.375,5.375,1.9238414764404297,837600,0.0,0.0
1990-05-01,5.375,5.71875,5.25,5.59375,2.002138376235962,987600,0.0,0.0
1990-06-01,5.59375,5.84375,5.59375,5.75,2.0580639839172363,426400,0.0375,0.0
1990-07-01,5.75,5.75,5.5625,5.71875,2.0602428913116455,619600,0.0,0.0
1990-08-01,5.6875,5.6875,5.0625,5.0625,1.8238214254379272,428800,0.0,0.0
1990-09-01,5.0625,5.375,5.0625,5.1875,1.8688538074493408,464800,0.0375,0.0
1990-10-01,5.1875,5.3125,4.9375,5.15625,1.870801329612732,916400,0.0,0.0
1990-11-01,5.21875,6.09375,5.09375,6.03125,2.1882710456848145,455600,0.0,0.0
1990-12-01,6.09375,6.125,5.75,5.8125,2.1089038848876953,1063600,0.0375,0.0
1991-01-01,5.75,5.75,5.0,5.65625,2.065255880355835,963600,0.0,0.0
1991-02-01,5.71875,6.375,5.71875,6.375,2.3276917934417725,2080400,0.0,0.0
1991-03-01,6.3125,7.09375,6.3125,7.0,2.5558969974517822,836000,0.04,0.0
1991-04-01,6.9375,7.0,6.125,6.25,2.295166015625,2339200,0.0,0.0
1991-05-01,6.25,6.25,5.5,5.53125,2.0312211513519287,2916800,0.0,0.0
