Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-03-01,6.625,7.9375,6.4375,7.375,4.430914878845215,17307800,0.025,0.0
1994-04-01,7.125,7.6875,6.875,7.25,4.370502471923828,6840200,0.0,0.0
1994-05-01,7.1875,8.25,7.0625,8.0625,4.8603010177612305,5185000,0.0,0.0
1994-06-01,8.0625,8.625,7.5625,8.1875,4.93565559387207,7265200,0.025,0.0
1994-07-01,8.1875,8.8125,7.9375,8.6875,5.253748893737793,6778600,0.0,0.0
1994-08-01,8.625,8.8125,7.3125,7.5,4.535609722137451,10002400,0.0,0.0
1994-09-01,7.625,7.625,7.125,7.1875,4.346625328063965,8592800,0.025,0.0
1994-10-01,7.25,8.0,7.0,7.625,4.626885890960693,5407400,0.0,0.0
1994-11-01,7.75,7.8125,6.5625,6.75,4.09593391418457,4389600,0.0,0.0
1994-12-01,6.8125,7.0,6.4375,6.9375,4.20971155166626,2474400,0.025,0.0
1995-01-01,6.875,7.25,6.375,6.5625,3.997532844543457,3555000,0.0,0.0
1995-02-01,6.5625,7.25,6.25,7.125,4.340179443359375,5384400,0.0,0.0
1995-03-01,7.0625,7.0625,6.125,6.375,3.883316993713379,6118000,0.025,0.0
1995-04-01,6.375,7.0,6.3125,6.8125,4.165246486663818,5932000,0.0,0.0
1995-05-01,6.75,8.0,6.6875,7.625,4.6620192527771,6721800,0.0,0.0
1995-06-01,7.6875,8.0625,7.5,7.8125,4.776657581329346,3667400,0.025,0.0
1995-07-01,7.6875,8.25,7.5625,7.8125,4.792243003845215,2816400,0.0,0.0
1995-08-01,7.8125,8.4375,7.8125,8.1875,5.022273063659668,9296800,0.0,0.0
1995-09-01,8.1875,9.625,8.0,9.375,5.75068998336792,10204000,0.0275,0.0
1995-10-01,9.375,9.625,9.1875,9.3125,5.729617595672607,4876400,0.0,0.0
1995-11-01,9.25,10.0,8.125,9.1875,5.652710914611816,8630800,0.0,0.0
1995-12-01,9.3125,9.9375,8.3125,9.6875,5.960345268249512,8670600,0.0275,0.0
1996-01-01,9.5625,9.5625,8.625,9.3125,5.746253967285156,4595400,0.0,0.0
1996-02-01,9.25,9.875,9.25,9.625,5.939080238342285,4600600,0.0,0.0
1996-03-01,9.75,11.375,9.625,11.1875,6.903220176696777,11718200,0.0275,0.0
1996-04-01,11.1875,11.8125,9.75,11.6875,7.23023796081543,4097200,0.0,0.0
1996-05-01,11.5625,12.0625,10.8125,11.25,6.959585189819336,3803200,0.0,0.0
1996-06-01,11.25,11.5,9.125,9.125,5.644998073577881,2888800,0.0275,0.0
1996-07-01,9.25,9.625,7.1875,8.375,5.193512439727783,5700800,0.0,0.0
1996-08-01,8.5,9.5,8.0625,8.0625,4.999729156494141,6638600,0.0,0.0
1996-09-01,8.125,8.6875,8.0,8.5625,5.309787273406982,2814600,0.035,0.0
1996-10-01,8.5625,9.0625,7.75,8.0625,5.021027088165283,2594200,0.0,0.0
1996-11-01,8.0,9.25,7.9375,9.0625,5.643786907196045,2222600,0.0,0.0
1996-12-01,9.0,9.5625,7.875,9.0625,5.643786907196045,2644400,0.035,0.0
1997-01-01,9.0625,9.875,8.9375,9.375,5.859847545623779,2175400,0.0,0.0
1997-02-01,9.375,9.9375,9.25,9.8125,6.133309841156006,2243200,0.0,0.0
1997-03-01,9.8125,10.0,8.9375,8.9375,5.586391448974609,2888200,0.035,0.0
1997-04-01,9.0,9.5,8.75,8.8125,5.527978420257568,2093800,0.0,0.0
1997-05-01,8.875,9.4375,8.6875,9.375,5.880824565887451,1930800,0.0,0.0
1997-06-01,9.25,10.75,9.0625,10.53125,6.606130123138428,4397200,0.035,0.0
1997-07-01,10.53125,12.03125,10.40625,12.0,7.555479049682617,3492800,0.0,0.0
1997-08-01,11.9375,12.28125,11.0625,12.28125,7.732559680938721,3537600,0.0,0.0
1997-09-01,12.6875,13.625,12.28125,12.59375,7.929318428039551,5675800,0.045,0.0
1997-10-01,12.625,13.375,10.9375,12.125,7.6601386070251465,2258400,0.0,0.0
1997-11-01,12.1875,12.75,11.6875,12.5,7.897047519683838,1587600,0.0,0.0
1997-12-01,12.375,12.9375,11.625,11.9375,7.541683673858643,5800400,0.045,0.0
1998-01-01,11.9375,12.09375,10.5,11.0625,7.014199733734131,3879600,0.0,0.0
1998-02-01,11.125,12.25,11.0625,12.1875,7.727514266967773,2372400,0.0,0.0
1998-03-01,12.15625,12.96875,12.0,12.625,8.004904747009277,5683600,0.045,0.0
1998-04-01,12.375,13.09375,12.0625,12.4375,7.914663314819336,2468600,0.0,0.0
1998-05-01,12.4375,13.0625,11.9375,12.15625,7.7356858253479,1928000,0.0,0.0
1998-06-01,12.15625,12.5,10.65625,11.03125,7.019787311553955,3220200,0.045,0.0
1998-07-01,11.15625,12.53125,9.625,9.65625,6.1681718826293945,3478400,0.0,0.0
1998-08-01,9.6875,10.40625,8.375,8.40625,5.369705677032471,3928200,0.0,0.0
1998-09-01,8.40625,9.6875,8.40625,9.40625,6.008479118347168,3599200,0.045,0.0
1998-10-01,9.3125,10.5625,9.0625,9.53125,6.119798183441162,2645400,0.0,0.0
1998-11-01,9.59375,10.34375,9.125,9.3125,5.979345321655273,2226000,0.0,0.0
1998-12-01,9.25,11.875,8.0,11.875,7.624667644500732,3825200,0.245,0.0
1999-01-01,11.8125,12.09375,10.71875,11.59375,7.629527568817139,2278800,0.0,0.0
1999-02-01,11.65625,12.28125,11.3125,11.8125,7.773482799530029,1749200,0.0,0.0
1999-03-01,11.78125,12.65625,9.4375,10.46875,6.889196872711182,2832200,0.05,0.0
1999-04-01,10.40625,11.46875,10.0,11.0,7.268852710723877,2418000,0.0,0.0
1999-05-01,11.0,12.15625,10.875,11.21875,7.413403034210205,1977000,0.0,0.0
1999-06-01,11.21875,12.0625,9.65625,11.5625,7.64055061340332,2992000,0.05,0.0
1999-07-01,11.5,11.5625,8.875,8.96875,5.951389789581299,2633800,0.0,0.0
1999-08-01,8.96875,9.0,8.3125,8.65625,5.74402379989624,2051000,0.0,0.0
1999-09-01,8.625,10.0625,8.34375,10.0625,6.6771650314331055,2268000,0.05,0.0
1999-10-01,9.875,9.96875,8.59375,8.875,5.923394203186035,2365800,0.0,0.0
1999-11-01,8.9375,9.8125,8.9375,9.6875,6.465676307678223,1993000,0.0,0.0
1999-12-01,9.625,9.75,8.65625,9.59375,6.403106689453125,1965000,0.05,0.0
2000-01-01,9.65625,9.65625,8.5625,9.03125,6.061469078063965,1799000,0.0,0.0
2000-02-01,9.0,9.0,7.5,7.53125,5.0547194480896,2224400,0.0,0.0
2000-03-01,7.5,10.5625,7.28125,10.375,6.963351726531982,4426000,0.055,0.0
2000-04-01,10.1875,11.0,9.375,10.46875,7.0749125480651855,3541400,0.0,0.0
2000-05-01,10.40625,11.84375,10.40625,11.0,7.433940410614014,3232800,0.0,0.0
2000-06-01,11.03125,11.5,9.875,9.875,6.673648357391357,3606400,0.055,0.0
2000-07-01,10.0,12.375,10.0,12.34375,8.382813453674316,3015000,0.0,0.0
2000-08-01,12.3125,13.0625,11.875,12.40625,8.425262451171875,5041800,0.0,0.0
2000-09-01,12.4375,12.5,9.25,10.09375,6.8548102378845215,3916400,0.055,0.0
2000-10-01,10.1875,11.84375,9.3125,11.59375,7.91050910949707,3768400,0.0,0.0
2000-11-01,11.6875,11.6875,10.03125,11.03125,7.526711940765381,2575600,0.0,0.0
2000-12-01,11.0625,12.84375,10.78125,12.375,8.443561553955078,3326200,0.065,0.0
2001-01-01,12.3125,12.6875,11.0,12.524999618530273,8.596132278442383,4134400,0.0,0.0
2001-02-01,12.505000114440918,12.600000381469727,11.225000381469727,11.925000190734863,8.184344291687012,3226600,0.0,0.0
2001-03-01,11.824999809265137,12.3100004196167,10.600000381469727,11.225000381469727,7.703917980194092,5191400,0.065,0.0
2001-04-01,11.324999809265137,11.949999809265137,10.755000114440918,11.680000305175781,8.060789108276367,3080200,0.0,0.0
2001-05-01,11.680000305175781,11.770000457763672,10.600000381469727,11.449999809265137,7.902055740356445,2394000,0.0,0.0
2001-06-01,11.449999809265137,11.800000190734863,10.625,11.585000038146973,7.9952216148376465,2532800,0.065,0.0
2001-07-01,11.585000038146973,11.675000190734863,10.130000114440918,10.380000114440918,7.205650329589844,3597800,0.0,0.0
2001-08-01,10.279999732971191,11.0,9.9399995803833,10.569999694824219,7.337545871734619,2885600,0.0,0.0
2001-09-01,10.545000076293945,10.619999885559082,8.25,9.449999809265137,6.560060501098633,3299800,0.195,0.0
2001-10-01,9.449999809265137,10.595000267028809,8.680000305175781,9.970000267028809,7.062007427215576,4626200,0.0,0.0
2001-11-01,10.079999923706055,11.40999984741211,9.949999809265137,11.135000228881836,7.88720703125,2599800,0.0,0.0
2001-12-01,11.125,12.364999771118164,10.800000190734863,12.0,8.499907493591309,3478600,0.065,0.0
2002-01-01,12.0,12.489999771118164,10.949999809265137,11.725000381469727,8.351222038269043,3833800,0.0,0.0
2002-02-01,11.765000343322754,12.46500015258789,11.404999732971191,11.854999542236328,8.443812370300293,4256200,0.0,0.0
2002-03-01,11.899999618530273,13.864999771118164,11.850000381469727,13.779999732971191,9.814909934997559,8241600,0.065,0.0
2002-04-01,13.779999732971191,15.180000305175781,13.335000038146973,14.824999809265137,10.613395690917969,7528800,0.0,0.0
2002-05-01,14.774999618530273,16.299999237060547,14.5,15.9399995803833,11.411636352539062,5909600,0.0,0.0
2002-06-01,15.9399995803833,16.5,14.795000076293945,15.375,11.007143020629883,7850200,0.065,0.0
2002-07-01,15.550000190734863,15.975000381469727,12.850000381469727,14.779999732971191,10.62382698059082,6252600,0.0,0.0
