Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-04-01,20.375,21.0,20.0,20.5,6.879880905151367,642600,0.0,0.0
1994-05-01,20.5,21.875,20.0,21.5,7.21549129486084,916600,0.0,0.0
1994-06-01,21.5,22.75,20.25,20.5,6.879880905151367,1161100,0.0,0.0
1994-07-01,20.5,22.125,20.125,20.5,6.879880905151367,646900,0.0,0.0
1994-08-01,20.5,22.0,19.75,20.375,6.837930679321289,652600,0.0,0.0
1994-09-01,20.375,21.375,20.25,21.25,7.131584167480469,530600,0.0,0.0
1994-10-01,21.125,21.125,19.5,19.5,6.544281005859375,695200,0.0,0.0
1994-11-01,19.5,19.5,17.75,18.0,6.0408735275268555,304400,0.0,0.0
1994-12-01,18.0,21.0,17.75,20.125,6.754034996032715,556500,0.0,0.0
1995-01-01,20.125,20.875,19.125,19.875,6.670131683349609,278200,0.0,0.0
1995-02-01,19.875,20.125,18.5,18.875,6.33452844619751,516800,0.0,0.0
1995-03-01,18.875,19.25,18.0,18.375,6.166724681854248,551400,0.0,0.0
1995-04-01,18.25,18.5,16.75,18.0,6.0408735275268555,1025000,0.0,0.0
1995-05-01,17.875,19.375,17.25,18.25,6.124772548675537,2204200,0.0,0.0
1995-06-01,18.25,20.0,18.25,19.5,6.544281005859375,807500,0.0,0.0
1995-07-01,19.5,19.875,19.25,19.875,6.670131683349609,692600,0.0,0.0
1995-08-01,19.875,20.875,19.125,20.875,7.005731582641602,760800,0.0,0.0
1995-09-01,20.875,21.75,20.75,21.375,7.173537254333496,631000,0.0,0.0
1995-10-01,21.5,21.625,20.5,20.625,6.921834468841553,659600,0.0,0.0
1995-11-01,20.625,22.0,19.875,21.75,7.299388408660889,759000,0.0,0.0
1995-12-01,21.875,24.5,21.875,24.25,8.138395309448242,682000,0.0,0.0
1996-01-01,24.25,24.375,23.125,23.875,8.01254940032959,758700,0.0,0.0
1996-02-01,23.5,24.375,22.625,23.5,7.886698246002197,692900,0.0,0.0
1996-03-01,23.5,25.875,23.5,24.125,8.09644889831543,576600,0.0,0.0
1996-04-01,24.25,25.375,23.0,25.125,8.432051658630371,691700,0.0,0.0
1996-05-01,25.0,25.75,24.75,25.625,8.599854469299316,815400,0.0,0.0
1996-06-01,25.625,26.0,25.0,25.875,8.683754920959473,543600,0.0,0.0
1996-07-01,25.625,26.0,24.5,25.375,8.515952110290527,2002100,0.0,0.0
1996-08-01,25.25,28.125,25.25,28.0,9.396910667419434,1676700,0.0,0.0
1996-09-01,27.75,29.375,27.375,28.5,9.564711570739746,1185400,0.0,0.0
1996-10-01,28.375,30.75,28.125,30.0,10.068120956420898,1038600,0.0,0.0
1996-11-01,30.25,32.5,30.25,32.5,10.907129287719727,1430100,0.0,0.0
1996-12-01,32.5,36.0,31.875,36.0,12.081747055053711,1054400,0.0,0.0
1997-01-01,36.0,37.5,34.125,36.0,12.081747055053711,2305200,0.0,0.0
1997-02-01,36.0,36.5,35.125,35.875,12.039796829223633,764800,0.0,0.0
1997-03-01,35.75,37.125,35.625,35.875,12.039796829223633,1241600,0.0,0.0
1997-04-01,35.75,36.5,32.125,33.5,11.242734909057617,1404200,0.0,0.0
1997-05-01,34.25,36.125,34.125,35.25,11.830047607421875,787800,0.0,0.0
1997-06-01,35.25,37.625,35.25,37.0,12.417352676391602,956000,0.0,0.0
1997-07-01,36.5,39.0,36.5,38.375,12.87880802154541,758100,0.0,0.0
1997-08-01,38.5,39.0,36.75,37.25,12.501250267028809,608400,0.0,0.0
1997-09-01,36.75,40.25,36.75,39.875,13.38221549987793,1245500,0.0,0.0
1997-10-01,39.75,40.625,37.375,39.125,13.130513191223145,1649500,0.0,0.0
1997-11-01,38.875,40.0,38.0,39.875,13.38221549987793,1219700,0.0,0.0
1997-12-01,39.75,40.5,38.25,39.0,13.08856201171875,1259500,0.0,0.0
1998-01-01,39.125,39.25,37.875,37.875,12.711008071899414,1238600,0.0,0.0
1998-02-01,38.0,38.625,37.25,37.75,12.66905689239502,1350100,0.0,0.0
1998-03-01,37.875,37.875,36.25,37.125,12.459295272827148,1514600,0.0,0.0
1998-04-01,37.125,37.75,36.75,37.0,12.417352676391602,1544100,0.0,0.0
1998-05-01,37.0,37.875,36.0,36.75,12.333449363708496,1559000,0.0,0.0
1998-06-01,36.875,38.0,35.0,38.0,12.75295352935791,3269300,0.51,0.0
1998-07-01,37.875,38.4375,35.5625,35.875,12.20864486694336,3223500,0.0,0.0
1998-08-01,35.75,35.8125,32.3125,32.75,11.14517879486084,1966600,0.0,0.0
1998-09-01,33.0,35.6875,30.5,34.3125,11.676912307739258,1597600,0.51,0.0
1998-10-01,34.25,34.3125,31.125,32.125,11.097733497619629,2259300,0.0,0.0
1998-11-01,32.1875,34.1875,32.1875,34.0,11.745462417602539,2418500,0.0,0.0
1998-12-01,33.75,34.25,32.75,34.25,11.83182430267334,2056300,0.51,0.0
1999-01-01,34.125,34.3125,31.0,32.0625,11.247373580932617,5403500,0.0,0.0
1999-02-01,32.3125,33.125,31.1875,31.5625,11.071972846984863,2917900,0.0,0.0
1999-03-01,31.6875,32.25,30.8125,31.875,11.181594848632812,2108600,0.51,0.0
1999-04-01,31.625,35.625,31.0,35.0,12.47907829284668,7616400,0.0,0.0
1999-05-01,35.0625,36.375,34.125,35.375,12.612776756286621,2731100,0.0,0.0
1999-06-01,35.25,37.0,34.3125,37.0,13.192163467407227,5693000,0.51,0.0
1999-07-01,35.375,35.4375,33.0,33.9375,12.280147552490234,2275700,0.0,0.0
1999-08-01,34.125,35.5,33.75,35.25,12.755069732666016,1632300,0.0,0.0
1999-09-01,35.125,35.875,32.5625,33.875,12.257527351379395,5725300,0.52,0.0
1999-10-01,34.0,34.5625,31.0625,32.5625,11.969453811645508,3038200,0.0,0.0
1999-11-01,32.25,33.25,31.5,32.375,11.900527000427246,1630200,0.0,0.0
1999-12-01,32.25,35.0,30.875,34.625,12.727592468261719,2659700,0.52,0.0
2000-01-01,34.1875,36.0,32.625,34.5,12.872902870178223,2258900,0.0,0.0
2000-02-01,34.5,34.6875,33.25,33.75,12.593050003051758,2217600,0.0,0.0
2000-03-01,33.4375,36.6875,33.4375,36.625,13.665786743164062,3584000,0.56,0.0
2000-04-01,36.5625,39.3125,36.125,39.125,14.826079368591309,9334900,0.0,0.0
2000-05-01,39.125,40.875,39.0625,39.75,15.062911033630371,3413100,0.0,0.0
2000-06-01,39.875,43.125,39.625,41.71875,15.808964729309082,6376800,0.56,0.0
2000-07-01,42.0625,47.625,41.96875,47.125,18.098751068115234,4364800,0.0,0.0
2000-08-01,47.125,48.0625,44.0,44.6875,17.162609100341797,3658700,0.0,0.0
2000-09-01,44.6875,48.25,44.5625,47.6875,18.314783096313477,3484100,0.56,0.0
2000-10-01,47.8125,47.8125,44.0,45.9375,17.854576110839844,2946400,0.0,0.0
2000-11-01,45.9375,46.875,45.0,46.8125,18.194660186767578,2172100,0.0,0.0
2000-12-01,46.6875,50.625,46.5625,50.125,19.482126235961914,6113600,0.56,0.0
2001-01-01,50.0,50.0,45.875,48.59000015258789,19.107288360595703,3991600,0.0,0.0
