Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,8.0,9.4375,7.5,9.3125,3.7797632217407227,3904000,0.0,0.0
1985-02-01,9.28125,9.8125,9.03125,9.15625,3.716343879699707,2400800,0.0,0.0
1985-03-01,9.15625,9.28125,8.1875,8.46875,3.437300443649292,1990800,0.0,0.0
1985-04-01,8.46875,8.65625,8.15625,8.5625,3.475351333618164,2192400,0.0,0.0
1985-05-01,8.53125,8.5625,7.6875,7.9375,3.2216763496398926,4881200,0.0,0.0
1985-06-01,7.9375,8.4375,7.53125,7.78125,3.158259153366089,5023200,0.0,0.0
1985-07-01,7.78125,9.25,7.5,8.8125,3.5768208503723145,3948000,0.0,0.0
1985-08-01,8.875,9.0625,8.125,8.375,3.399249315261841,2751600,0.0,0.0
1985-09-01,8.375,8.53125,7.53125,7.53125,3.0567870140075684,2756000,0.0,0.0
1985-10-01,7.65625,8.78125,7.65625,8.625,3.5007195472717285,3594400,0.0,0.0
1985-11-01,8.625,9.125,8.4375,9.0,3.6529245376586914,2293600,0.0,0.0
1985-12-01,9.0,9.53125,8.71875,9.21875,3.741711139678955,3063600,0.0,0.0
1986-01-01,9.21875,9.46875,8.625,9.03125,3.6656100749969482,4456800,0.0,0.0
1986-02-01,9.03125,10.75,8.96875,10.53125,4.2744293212890625,3902000,0.0,0.0
1986-03-01,10.53125,11.6875,10.0,11.46875,4.654941082000732,4171600,0.0,0.0
1986-04-01,11.5,11.875,10.53125,10.53125,4.2744293212890625,3003600,0.0,0.0
1986-05-01,10.5,11.53125,10.40625,11.15625,4.528103828430176,1847600,0.0,0.0
1986-06-01,11.125,11.125,10.375,10.8125,4.388583183288574,3689600,0.0,0.0
1986-07-01,10.8125,10.8125,9.1875,9.40625,3.817812919616699,4242800,0.0,0.0
1986-08-01,9.40625,9.78125,9.03125,9.65625,3.9192841053009033,3214800,0.0,0.0
1986-09-01,9.75,10.28125,9.0625,9.1875,3.7290279865264893,3799600,0.0,0.0
1986-10-01,9.25,9.96875,9.1875,9.75,3.9573330879211426,2295200,0.0,0.0
1986-11-01,9.75,10.0,9.28125,9.3125,3.7797632217407227,2500800,0.0,0.0
1986-12-01,9.3125,10.375,9.3125,10.28125,4.172957897186279,3712400,0.0,0.0
1987-01-01,10.28125,11.8125,10.28125,11.78125,4.781779766082764,2482400,0.0,0.0
1987-02-01,11.875,13.25,11.875,13.0,5.276448726654053,3135600,0.0,0.0
1987-03-01,13.0,13.0625,11.5,11.9375,4.845200061798096,5479000,0.0,2.0
1987-04-01,11.9375,12.75,10.375,11.4375,4.642258644104004,3265200,0.0,0.0
1987-05-01,11.4375,12.125,10.9375,12.0,4.870565891265869,3508000,0.0,0.0
1987-06-01,12.0,13.125,11.875,12.5,5.0735087394714355,2416800,0.0,0.0
1987-07-01,12.5,14.25,12.5,13.6875,5.555490493774414,5209400,0.0,0.0
1987-08-01,13.6875,14.625,13.25,14.1875,5.758429050445557,2927400,0.0,0.0
1987-09-01,14.1875,14.3125,12.1875,12.5,5.0735087394714355,3908000,0.0,0.0
1987-10-01,12.625,13.125,7.5625,9.625,3.9066007137298584,7808000,0.0,0.0
1987-11-01,9.625,9.6875,7.875,9.3125,3.7797632217407227,6138600,0.0525,0.0
1987-12-01,9.3125,11.0,8.4375,10.625,4.336765766143799,4800400,0.0,0.0
1988-01-01,10.5625,10.9375,9.625,10.8125,4.413299083709717,3070800,0.0,0.0
1988-02-01,10.6875,11.625,9.8125,11.5,4.693910121917725,2631200,0.0525,0.0
1988-03-01,11.4375,12.1875,10.625,11.375,4.664538860321045,3908000,0.0,0.0
1988-04-01,11.375,12.5,11.0,11.125,4.5620222091674805,2768600,0.0,0.0
1988-05-01,11.25,11.5625,10.25,10.875,4.459505558013916,2050400,0.06,0.0
1988-06-01,10.875,12.5625,10.875,12.25,5.052043437957764,2787200,0.0,0.0
1988-07-01,12.4375,13.0,11.875,12.25,5.052043437957764,3569600,0.0,0.0
1988-08-01,12.25,12.25,9.875,11.0,4.536532402038574,6469200,0.06,0.0
1988-09-01,10.9375,11.875,10.4375,11.375,4.717213153839111,3349200,0.0,0.0
1988-10-01,11.5,12.125,11.125,11.375,4.717213153839111,1935000,0.0,0.0
1988-11-01,11.4375,11.5,10.3125,11.0,4.561700820922852,3792400,0.0,0.0
1988-12-01,10.875,11.625,10.625,11.375,4.717213153839111,2484400,0.0,0.0
1989-01-01,11.4375,12.3125,10.9375,12.0625,5.0023193359375,3114200,0.0,0.0
1989-02-01,12.0,12.1875,10.5,10.6875,4.432108402252197,3479600,0.06,0.0
1989-03-01,10.625,11.8125,10.5,11.625,4.847174644470215,4839400,0.0,0.0
1989-04-01,11.5625,12.0,11.5625,11.8125,4.925355434417725,1904600,0.0,0.0
1989-05-01,11.75,12.9375,11.75,12.875,5.368380546569824,2480400,0.0,0.0
1989-06-01,12.75,13.625,12.6875,13.0,5.42050313949585,3058800,0.07,0.0
1989-07-01,13.0,13.8125,12.6875,13.8125,5.790764331817627,2317400,0.0,0.0
1989-08-01,13.75,14.125,13.1875,14.0,5.869372367858887,2425400,0.07,0.0
1989-09-01,13.875,14.625,13.75,14.1875,5.978279113769531,3030200,0.0,0.0
1989-10-01,14.25,15.4375,14.0,14.5,6.109954357147217,3997800,0.0,0.0
1989-11-01,14.5,15.9375,14.3125,15.9375,6.715683460235596,3781000,0.07,0.0
1989-12-01,15.9375,16.625,15.6875,16.1875,6.851361274719238,3476600,0.0,0.0
1990-01-01,16.25,16.5,13.6875,14.5,6.1371235847473145,4136800,0.0,0.0
1990-02-01,14.4375,14.9375,13.625,13.625,5.766782283782959,2727600,0.0,0.0
1990-03-01,13.5625,14.0625,13.125,13.6875,5.793233871459961,5052600,0.07,0.0
1990-04-01,13.625,14.1875,12.375,12.75,5.424305438995361,2742800,0.0,0.0
1990-05-01,12.5625,14.375,11.625,11.9375,5.078638076782227,14461800,0.08,0.0
1990-06-01,12.0,12.5,11.5625,11.625,4.977869987487793,12088400,0.0,0.0
1990-07-01,11.5625,12.3125,11.0625,11.9375,5.111684799194336,8189800,0.0,0.0
1990-08-01,11.9375,11.9375,9.1875,9.6875,4.148227214813232,6261200,0.08,0.0
1990-09-01,9.6875,9.875,7.9375,8.0,3.4551174640655518,3966200,0.0,0.0
1990-10-01,8.0625,8.875,7.75,8.625,3.725045919418335,5718000,0.0,0.0
1990-11-01,8.5625,9.875,7.9375,9.625,4.156938076019287,7854800,0.09,0.0
1990-12-01,9.75,10.9375,9.3125,10.75,4.686924934387207,5315600,0.0,0.0
1991-01-01,10.75,10.8125,9.5,10.75,4.686924934387207,5151000,0.0,0.0
1991-02-01,10.6875,12.5625,10.4375,11.9375,5.2046637535095215,9239800,0.0,0.0
1991-03-01,11.9375,12.875,11.75,12.125,5.286412715911865,5593400,0.09,0.0
1991-04-01,12.0625,12.625,11.375,12.125,5.3259477615356445,5193800,0.0,0.0
1991-05-01,12.1875,12.5625,11.875,12.5,5.490668296813965,5445200,0.09,0.0
1991-06-01,12.375,12.8125,12.1875,12.375,5.476837635040283,3202200,0.0,0.0
1991-07-01,12.5,12.625,11.3125,11.875,5.25554895401001,3120800,0.0,0.0
1991-08-01,11.875,12.3125,10.875,11.75,5.200228214263916,5522000,0.1,0.0
1991-09-01,11.6875,11.75,10.0625,10.5,4.6871185302734375,4406200,0.0,0.0
1991-10-01,10.5,11.625,10.0,11.25,5.021912097930908,4431000,0.0,0.0
1991-11-01,11.375,11.625,10.3125,10.625,4.742915153503418,2605600,0.1,0.0
1991-12-01,10.5,12.6875,10.25,12.6875,5.714970111846924,4685400,0.0,0.0
1992-01-01,12.5625,12.9375,11.8125,12.0,5.4052886962890625,5095000,0.0,0.0
1992-02-01,12.0,13.9375,11.625,13.6875,6.165411949157715,6933800,0.1,0.0
1992-03-01,13.5625,13.75,12.875,12.9375,5.871273040771484,6645800,0.0,0.0
1992-04-01,12.875,13.6875,12.6875,13.4375,6.098182678222656,6819400,0.0,0.0
1992-05-01,13.4375,14.3125,13.0625,14.0625,6.381817817687988,3226800,0.1,0.0
1992-06-01,13.9375,14.125,13.1875,13.375,6.113483905792236,2939000,0.0,0.0
1992-07-01,13.375,14.3125,12.75,14.1875,6.48486852645874,3224000,0.0,0.0
1992-08-01,14.125,14.1875,12.9375,13.1875,6.027782917022705,2473800,0.1,0.0
1992-09-01,13.1875,14.25,12.3125,12.5,5.756378173828125,5807400,0.0,0.0
1992-10-01,12.5,13.4375,11.8125,13.3125,6.130543231964111,3247800,0.0,0.0
1992-11-01,13.3125,13.9375,13.0,13.875,6.389578819274902,3358800,0.11,0.0
1992-12-01,13.875,14.5625,13.5625,14.375,6.674213886260986,4335600,0.0,0.0
1993-01-01,14.4375,14.4375,12.5625,13.4375,6.238940715789795,4014000,0.0,0.0
1993-02-01,13.5,14.0,12.6875,13.0,6.035815238952637,3780200,0.11,0.0
1993-03-01,13.0,14.625,12.875,14.375,6.730353355407715,4955200,0.0,0.0
1993-04-01,14.375,15.4375,14.1875,15.125,7.081504821777344,4099200,0.0,0.0
1993-05-01,15.125,15.75,14.5,15.0625,7.052238941192627,2557200,0.11,0.0
1993-06-01,15.125,15.3125,14.3125,14.6875,6.926217555999756,3074200,0.0,0.0
1993-07-01,14.625,14.9375,13.875,14.125,6.660965442657471,2904000,0.0,0.0
1993-08-01,14.125,14.375,12.8125,13.0,6.1304426193237305,4384000,0.11,0.0
1993-09-01,12.9375,13.5625,12.875,13.125,6.241450309753418,4407800,0.0,0.0
1993-10-01,13.0625,14.25,12.8125,14.1875,6.746711254119873,4753200,0.0,0.0
1993-11-01,14.1875,14.75,13.6875,14.75,7.014200687408447,4322200,0.12,0.0
1993-12-01,14.75,15.0,14.5,14.6875,7.043275833129883,3162400,0.0,0.0
1994-01-01,14.5625,14.8125,13.8125,14.25,6.833474159240723,3485000,0.0,0.0
1994-02-01,14.25,15.625,14.0,15.625,7.492847919464111,4855400,0.12,0.0
1994-03-01,15.5625,15.5625,13.1875,13.9375,6.736198902130127,4425800,0.0,0.0
1994-04-01,13.8125,14.5625,13.3125,14.4375,6.977849006652832,3372800,0.0,0.0
1994-05-01,14.5625,14.8125,14.0625,14.5,7.008057117462158,3827400,0.12,0.0
1994-06-01,14.375,15.625,14.25,14.5,7.067312240600586,4874400,0.0,0.0
1994-07-01,14.5625,16.3125,14.3125,16.3125,7.9507246017456055,4720400,0.0,0.0
1994-08-01,16.375,17.5625,16.25,16.875,8.224892616271973,6893400,0.12,0.0
1994-09-01,17.0,17.6875,16.5625,17.1875,8.43631649017334,4307800,0.0,0.0
1994-10-01,17.25,17.8125,16.375,16.8125,8.252252578735352,6115600,0.0,0.0
1994-11-01,16.6875,17.0,15.5625,16.125,7.91480016708374,4867600,0.0,0.0
1994-12-01,16.0625,18.0,15.9375,17.75,8.712414741516113,6742000,0.135,0.0
1995-01-01,17.6875,18.3125,16.5625,17.625,8.724102973937988,6338000,0.0,0.0
1995-02-01,17.6875,19.625,17.6875,18.75,9.280960083007812,4718800,0.135,0.0
1995-03-01,18.75,20.5625,18.0625,19.9375,9.939842224121094,4996200,0.0,0.0
1995-04-01,19.8125,20.75,19.4375,20.3125,10.126798629760742,4864800,0.0,0.0
1995-05-01,20.4375,21.875,19.9375,20.625,10.282596588134766,4272800,0.0,0.0
1995-06-01,20.375,21.1875,20.0,20.0,9.971003532409668,4399000,0.135,0.0
1995-07-01,20.0625,20.9375,19.9375,20.0625,10.06806755065918,4140800,0.0,0.0
1995-08-01,20.125,20.5625,19.5,20.5,10.287612915039062,3350400,0.0,0.0
1995-09-01,20.25,21.125,19.75,21.0,10.538536071777344,4507800,0.135,0.0
1995-10-01,21.0625,22.8125,20.4375,22.375,11.30298900604248,3737600,0.0,0.0
1995-11-01,22.4375,23.9375,22.1875,23.8125,12.029162406921387,3135600,0.0,0.0
1995-12-01,24.0,25.0625,23.25,25.0625,12.660611152648926,3772400,0.15,0.0
1996-01-01,25.0625,27.0,23.75,26.6875,13.565189361572266,5048200,0.0,0.0
1996-02-01,26.75,28.5625,26.0625,26.9375,13.692266464233398,5398600,0.0,0.0
1996-03-01,26.9375,28.75,26.0,27.0,13.724035263061523,6375800,0.15,0.0
1996-04-01,27.1875,28.75,27.1875,28.5,14.56874942779541,5282600,0.0,0.0
1996-05-01,28.5,29.3125,28.3125,28.5,14.56874942779541,6280000,0.0,0.0
1996-06-01,28.1875,28.5625,26.8125,27.4375,14.025615692138672,3206600,0.15,0.0
1996-07-01,27.4375,27.875,24.6875,25.875,13.296882629394531,5437600,0.0,0.0
1996-08-01,25.875,27.09375,25.3125,25.5625,13.136292457580566,4468600,0.15,0.0
1996-09-01,25.3125,28.3125,25.1875,27.75,14.344386100769043,3521000,0.0,0.0
1996-10-01,27.75,33.25,27.6875,32.9375,17.025888442993164,6529200,0.0,0.0
1996-11-01,32.9375,36.375,32.3125,35.3125,18.253549575805664,3782800,0.0,0.0
1996-12-01,35.25,36.5,33.875,35.375,18.285863876342773,5387100,0.17,2.0
1997-01-01,35.125,37.0,33.375,36.625,19.02374839782715,4998700,0.0,0.0
1997-02-01,36.5,41.0,36.375,40.375,20.97157859802246,4599700,0.0,0.0
1997-03-01,39.875,44.5,38.5,38.5,19.99766731262207,5095700,0.17,0.0
1997-04-01,38.5,39.75,34.125,36.75,19.169397354125977,5496100,0.0,0.0
1997-05-01,36.875,40.125,36.375,37.625,19.625810623168945,4517800,0.0,0.0
1997-06-01,37.625,40.5,36.5,40.125,20.929845809936523,6547600,0.17,0.0
1997-07-01,40.1875,44.4375,39.625,44.125,23.12076759338379,4720900,0.0,0.0
1997-08-01,43.9375,44.1875,40.75,41.0625,21.516069412231445,4585700,0.17,0.0
1997-09-01,41.1875,42.1875,38.0,40.0,21.046483993530273,5598300,0.0,0.0
1997-10-01,40.0,42.1875,37.0625,39.8125,20.94782066345215,6771800,0.0,0.0
1997-11-01,40.0,42.375,38.6875,41.875,22.03302764892578,3159300,0.0,0.0
1997-12-01,41.75,45.75,40.0625,44.75,23.545740127563477,4466900,0.21,0.0
1998-01-01,45.0,45.875,40.625,44.875,23.73052215576172,3856700,0.0,0.0
1998-02-01,45.5,54.625,45.5,50.5,26.705106735229492,6030400,0.0,0.0
1998-03-01,50.125,54.0,49.25,53.375,28.225446701049805,5419900,0.21,0.0
1998-04-01,53.375,55.8125,51.875,52.375,27.812271118164062,6407000,0.0,0.0
1998-05-01,52.375,53.5,49.5625,51.8125,27.513574600219727,3120700,0.0,0.0
1998-06-01,51.6875,54.9375,49.5,53.75,28.542438507080078,5256700,0.21,0.0
1998-07-01,53.75,62.0625,53.25,57.4375,30.624691009521484,5587000,0.0,0.0
1998-08-01,57.1875,60.1875,53.6875,53.6875,28.625280380249023,5551500,0.21,0.0
1998-09-01,52.0,53.75,42.0,43.6875,23.381515502929688,8135400,0.0,0.0
1998-10-01,43.0625,47.1875,39.4375,41.4375,22.17731475830078,11119900,0.0,0.0
1998-11-01,41.6875,49.0,41.6875,47.9375,25.656097412109375,6786000,0.24,0.0
1998-12-01,47.5625,47.8125,41.25,45.0625,24.23845100402832,6434800,0.0,0.0
1999-01-01,45.25,50.0,39.375,49.4375,26.591699600219727,10265500,0.0,0.0
1999-02-01,49.6875,55.0,47.8125,53.6875,28.877704620361328,8006900,0.0,0.0
1999-03-01,53.25,59.375,50.6875,57.5,30.928380966186523,7175100,0.24,0.0
1999-04-01,57.75,69.625,55.5,68.25,36.87550735473633,8117400,0.0,0.0
1999-05-01,67.5,69.5,59.1875,59.875,32.35049057006836,6611500,0.24,0.0
1999-06-01,59.875,68.875,58.0,60.375,32.750152587890625,5766800,0.0,0.0
1999-07-01,60.625,64.5625,60.0625,61.375,33.292606353759766,4576400,0.0,0.0
1999-08-01,61.4375,62.6875,53.4375,54.875,29.766691207885742,7145200,0.24,0.0
1999-09-01,54.9375,58.875,51.5,52.75,28.73855209350586,6567500,0.0,0.0
1999-10-01,51.875,62.875,51.4375,62.5,34.05043029785156,7469500,0.0,0.0
1999-11-01,62.625,63.875,58.5,59.375,32.347904205322266,5517700,0.27,0.0
1999-12-01,59.375,73.0,58.0,72.875,39.88340759277344,6910800,0.0,0.0
2000-01-01,72.25,78.5,65.375,67.75,37.07854461669922,11024000,0.0,0.0
2000-02-01,67.25,67.9375,59.5,60.6875,33.2133674621582,6054400,0.27,0.0
2000-03-01,60.1875,70.0,54.8125,61.0625,33.56778335571289,10551500,0.0,0.0
2000-04-01,60.8125,68.75,56.25,65.625,36.075927734375,8737400,0.0,0.0
2000-05-01,65.125,68.5625,60.0,61.25,33.670860290527344,7790000,0.0,0.0
2000-06-01,62.625,70.5625,60.75,67.125,36.900516510009766,6880600,0.27,0.0
2000-07-01,66.625,70.625,51.0,54.25,29.949722290039062,14060800,0.0,0.0
2000-08-01,54.125,59.625,53.0,54.0625,29.846210479736328,8189900,0.0,0.0
2000-09-01,53.6875,53.8125,42.25,46.375,25.602188110351562,15888900,0.27,0.0
2000-10-01,46.3125,51.5625,41.125,50.5,28.0194034576416,14571200,0.0,0.0
2000-11-01,50.25,57.75,49.4375,55.0,30.51618766784668,11106000,0.0,0.0
2000-12-01,54.9375,58.875,49.0,54.875,30.44683074951172,11474400,0.3,0.0
2001-01-01,54.625,57.5,47.75,54.220001220703125,30.244173049926758,12353300,0.0,0.0
2001-02-01,54.31999969482422,55.599998474121094,51.0,53.0,29.56365394592285,6372100,0.0,0.0
2001-03-01,53.400001525878906,56.060001373291016,49.5,52.02000045776367,29.01699447631836,9217200,0.3,0.0
2001-04-01,52.27000045776367,57.72999954223633,49.599998474121094,56.06999969482422,31.450992584228516,7777700,0.0,0.0
2001-05-01,56.08000183105469,60.5,54.599998474121094,58.47999954223633,32.80282211303711,6048600,0.0,0.0
2001-06-01,58.47999954223633,58.95000076293945,47.70000076293945,51.04999923706055,28.63515281677246,8638800,0.3,0.0
2001-07-01,51.04999923706055,52.349998474121094,47.61000061035156,51.2599983215332,28.90193748474121,5395500,0.0,0.0
2001-08-01,51.349998474121094,52.84000015258789,48.75,51.40999984741211,28.986515045166016,5156600,0.3,0.0
2001-09-01,51.65999984741211,52.310001373291016,43.25,47.310001373291016,26.832529067993164,5572200,0.0,0.0
2001-10-01,47.099998474121094,50.959999084472656,46.130001068115234,46.29999923706055,26.25969123840332,7792400,0.0,0.0
2001-11-01,46.31999969482422,55.0,46.150001525878906,53.97999954223633,30.615516662597656,5553600,0.0,0.0
2001-12-01,53.849998474121094,57.709999084472656,53.099998474121094,56.529998779296875,32.0617790222168,4507200,0.33,0.0
2002-01-01,55.29999923706055,60.09000015258789,53.20000076293945,59.5,33.95382308959961,6791100,0.0,0.0
2002-02-01,59.5,64.55000305175781,56.5,64.0,36.52175521850586,8411700,0.0,0.0
2002-03-01,63.75,64.23999786376953,58.45000076293945,61.029998779296875,34.8269157409668,10893700,0.33,0.0
2002-04-01,61.029998779296875,65.5,58.38999938964844,64.05000305175781,36.74217987060547,8905300,0.0,0.0
2002-05-01,64.23999786376953,69.69999694824219,63.29999923706055,65.37000274658203,37.499393463134766,8624500,0.0,0.0
2002-06-01,65.0999984741211,66.0,61.08000183105469,62.75,35.99643325805664,9355900,0.33,0.0
2002-07-01,62.7599983215332,63.29999923706055,52.060001373291016,62.209999084472656,35.86772155761719,16174000,0.0,0.0
2002-08-01,61.75,65.55999755859375,56.84000015258789,63.119998931884766,36.39239501953125,10390800,0.33,0.0
2002-09-01,62.95000076293945,63.029998779296875,54.0,56.97999954223633,33.026084899902344,9582200,0.0,0.0
2002-10-01,57.599998474121094,66.33000183105469,55.189998626708984,62.2400016784668,36.074825286865234,11408900,0.0,0.0
2002-11-01,62.20000076293945,66.0,59.060001373291016,64.44000244140625,37.349979400634766,8550000,0.0,0.0
2002-12-01,64.9000015258789,64.9000015258789,58.95000076293945,61.08000183105469,35.40248489379883,9125000,0.36,0.0
