Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1987-05-01,18.125,23.375,17.875,21.875,7.5060954093933105,9595100,0.0,0.0
1987-06-01,21.875,23.375,21.125,22.75,7.806333065032959,8423500,0.0,0.0
1987-07-01,23.0,27.25,23.0,26.25,9.007311820983887,14133800,0.115,0.0
1987-08-01,27.0,27.375,22.5,25.25,8.703042984008789,11089600,0.0,0.0
1987-09-01,25.25,25.875,23.75,24.625,8.487622261047363,7091300,0.0,0.0
1987-10-01,24.875,26.25,11.625,16.875,5.816389083862305,13200600,0.0,0.0
1987-11-01,16.5,17.625,11.125,11.625,4.006847381591797,7509500,0.0,0.0
1987-12-01,11.875,14.875,11.625,13.625,4.696199417114258,10612100,0.0,0.0
1988-01-01,13.75,16.375,13.5,15.75,5.428633213043213,5633900,0.0,0.0
1988-02-01,15.625,17.0,14.5,16.75,5.773308753967285,6790200,0.115,0.0
1988-03-01,16.5,18.5,15.75,17.875,6.206383228302002,8535800,0.0,0.0
1988-04-01,17.875,19.875,16.75,17.5,6.07617712020874,9503600,0.0,0.0
1988-05-01,17.375,18.0,16.125,16.75,5.815774440765381,4774200,0.875,0.0
1988-06-01,16.75,16.75,14.625,15.375,5.619320392608643,9525000,0.0,0.0
1988-07-01,15.25,15.875,14.75,15.5,5.665011882781982,4619000,0.0,0.0
1988-08-01,15.25,15.25,13.5,13.875,5.071095943450928,6772700,0.115,0.0
1988-09-01,13.875,13.875,12.875,13.125,4.832839012145996,4898300,0.0,0.0
1988-10-01,13.0,13.875,12.125,13.0,4.786811351776123,8064300,0.115,0.0
1988-11-01,12.875,13.375,12.125,12.875,4.7826924324035645,4916100,0.0,0.0
1988-12-01,12.875,14.25,12.75,14.0,5.200597763061523,6405400,0.0,0.0
1989-01-01,14.0,15.625,13.625,14.875,5.525631904602051,11085500,0.115,0.0
1989-02-01,15.0,15.875,14.375,15.25,5.7087016105651855,5961500,0.0,0.0
1989-03-01,15.25,17.5,15.125,16.875,6.317007064819336,12757400,0.0,0.0
1989-04-01,16.875,18.375,16.625,17.625,6.597762584686279,8392800,0.0,0.0
1989-05-01,17.5,18.0,16.875,17.0,6.363799571990967,8138900,0.115,0.0
1989-06-01,17.0,20.0,16.875,19.25,7.253390789031982,10120900,0.0,0.0
1989-07-01,19.25,20.125,18.375,20.0,7.535993576049805,7536800,0.115,0.0
1989-08-01,20.0,22.5,19.375,22.375,8.480268478393555,11318300,0.0,0.0
1989-09-01,22.5,23.0,20.875,21.0,7.959140300750732,7140500,0.0,0.0
1989-10-01,21.125,23.125,19.875,21.375,8.101265907287598,11232500,0.115,0.0
1989-11-01,21.375,24.5,20.75,24.5,9.337408065795898,8983500,0.0,0.0
1989-12-01,24.5,27.625,24.125,25.5,9.718528747558594,9266400,0.0,0.0
1990-01-01,25.625,26.125,21.75,23.625,9.003925323486328,8666600,0.115,0.0
1990-02-01,23.875,28.0,23.625,25.625,9.815511703491211,14901700,0.0,0.0
1990-03-01,25.625,28.75,25.5,27.625,10.581597328186035,10073200,0.0,0.0
1990-04-01,27.375,29.0,25.25,25.75,9.863397598266602,10760300,0.115,0.0
1990-05-01,25.875,29.625,25.875,29.25,11.254558563232422,11653700,0.0,0.0
1990-06-01,29.375,29.75,26.75,27.25,10.48501968383789,9558900,0.0,0.0
1990-07-01,27.0,31.625,25.625,31.5,12.1202974319458,13690600,0.115,0.0
1990-08-01,31.5,34.75,28.5,30.5,11.780115127563477,14062700,0.0,0.0
1990-09-01,30.625,33.0,28.625,29.0,11.200774192810059,6788800,0.0,0.0
1990-10-01,29.0,29.875,25.75,26.5,10.235184669494629,10791400,0.115,0.0
1990-11-01,26.625,28.25,24.75,27.5,10.66407585144043,10897900,0.0,0.0
1990-12-01,27.375,27.75,24.125,25.625,9.936978340148926,9768300,0.0,0.0
1991-01-01,25.5,25.625,20.75,24.875,9.646141052246094,16810800,0.115,0.0
1991-02-01,24.625,31.0,24.0,29.875,11.639412879943848,15909700,0.0,0.0
1991-03-01,29.5,29.5,26.0,26.875,10.470611572265625,11188200,0.0,0.0
1991-04-01,26.75,30.0,25.875,28.5,11.103715896606445,10064700,0.115,0.0
1991-05-01,28.375,30.25,26.625,28.5,11.148704528808594,8968900,0.0,0.0
1991-06-01,28.5,29.0,22.125,23.5,9.192791938781738,10320300,0.0,0.0
1991-07-01,23.75,27.5,22.25,26.125,10.219644546508789,11948900,0.115,0.0
1991-08-01,26.125,27.125,23.5,27.0,10.609079360961914,8363400,0.0,0.0
1991-09-01,27.125,27.125,23.375,24.5,9.626751899719238,8948400,0.0,0.0
1991-10-01,24.5,26.0,23.0,25.875,10.167030334472656,10432500,0.115,0.0
1991-11-01,25.875,25.875,18.125,18.75,7.401462078094482,12256300,0.0,0.0
1991-12-01,18.375,20.0,17.875,19.25,7.598830699920654,17060000,0.0,0.0
1992-01-01,19.5,21.375,18.625,19.625,7.746865749359131,20524000,0.115,0.0
1992-02-01,19.75,20.75,18.25,19.0,7.542718410491943,9113300,0.0,0.0
1992-03-01,19.25,19.375,16.375,16.75,6.649504661560059,11796200,0.0,0.0
1992-04-01,16.625,21.125,15.875,20.625,8.187821388244629,17303700,0.115,0.0
1992-05-01,20.375,24.125,20.125,23.625,9.431363105773926,18734300,0.0,0.0
1992-06-01,23.625,24.0,19.75,20.25,8.084029197692871,9275000,0.0,0.0
1992-07-01,20.375,23.0,19.125,22.375,8.932352066040039,14315900,0.115,0.0
1992-08-01,22.375,25.125,22.125,24.25,9.73116683959961,15274000,0.0,0.0
1992-09-01,24.125,25.375,22.0,23.375,9.38004207611084,11418700,0.0,0.0
1992-10-01,23.5,24.5,21.375,21.75,8.727957725524902,6700900,0.115,0.0
1992-11-01,21.75,21.875,19.25,19.75,7.965212821960449,8582100,0.0,0.0
1992-12-01,19.5,19.875,17.75,19.625,7.914801120758057,16783600,0.0,0.0
1993-01-01,19.75,20.875,18.5,20.5,8.267685890197754,10083400,0.0,0.0
1993-02-01,20.25,23.625,20.25,23.375,9.427179336547852,15208900,0.115,0.0
1993-03-01,23.375,24.25,22.0,23.25,9.42870807647705,12099800,0.0,0.0
1993-04-01,23.25,28.5,22.125,27.0,10.949469566345215,18786200,0.0,0.0
1993-05-01,26.875,28.875,26.25,27.875,11.304313659667969,11704900,0.115,0.0
1993-06-01,28.25,29.625,25.5,26.25,10.691060066223145,12869900,0.0,0.0
1993-07-01,26.0,27.375,24.75,26.5,10.792882919311523,7794200,0.0,0.0
1993-08-01,26.375,28.25,25.5,27.5,11.200159072875977,9685100,0.115,0.0
1993-09-01,27.375,27.625,21.25,23.5,9.611796379089355,17441900,0.0,0.0
1993-10-01,23.875,24.875,21.375,22.5,9.202788352966309,13965700,0.0,0.0
1993-11-01,22.375,24.0,19.75,20.0,8.180259704589844,13143000,0.115,0.0
1993-12-01,20.0,20.75,18.875,20.0,8.221587181091309,15672900,0.0,0.0
1994-01-01,20.25,22.125,19.375,20.125,8.272974967956543,16935700,0.0,0.0
1994-02-01,20.25,21.5,18.875,19.0,7.810504913330078,19126100,0.115,0.0
1994-03-01,18.875,20.375,17.0,17.75,7.338593482971191,17336100,0.0,0.0
1994-04-01,17.25,19.125,17.25,18.375,7.596993446350098,14971600,0.0,0.0
1994-05-01,18.375,20.25,18.0,19.875,8.217154502868652,9749700,0.115,0.0
1994-06-01,19.875,22.0,19.5,20.5,8.528938293457031,15554300,0.0,0.0
1994-07-01,20.5,22.125,20.0,21.125,8.788966178894043,12465900,0.0,0.0
1994-08-01,21.0,21.75,18.25,18.75,7.800861358642578,13195700,0.115,0.0
1994-09-01,18.75,19.625,18.375,18.625,7.790524005889893,8034200,0.0,0.0
1994-10-01,18.625,20.875,18.375,20.5,8.574806213378906,11763700,0.0,0.0
1994-11-01,20.25,20.375,17.75,18.0,7.529091835021973,9010300,0.115,0.0
