Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,3.59375,3.859375,3.4375,3.828125,1.254387617111206,21640800,0.0375,0.0
1985-02-01,3.828125,4.1875,3.6875,4.125,1.3658583164215088,17477600,0.0,0.0
1985-03-01,4.15625,4.328125,3.9375,4.296875,1.42276930809021,14984000,0.0,0.0
1985-04-01,4.34375,4.53125,4.203125,4.296875,1.42276930809021,9615200,0.0425,0.0
1985-05-01,4.296875,4.640625,4.203125,4.609375,1.5410534143447876,7731200,0.0,0.0
1985-06-01,4.609375,4.875,4.421875,4.703125,1.57239830493927,6972000,0.0,0.0
1985-07-01,4.71875,5.09375,4.5,4.546875,1.5201590061187744,11608000,0.0425,0.0
1985-08-01,4.53125,5.03125,4.515625,4.9375,1.6658613681793213,14150400,0.0,0.0
1985-09-01,4.90625,5.21875,4.828125,5.03125,1.6974903345108032,15259200,0.0,0.0
1985-10-01,5.0625,5.734375,5.03125,5.609375,1.8925448656082153,17284000,0.0425,0.0
1985-11-01,5.625,6.0625,5.515625,6.03125,2.0510966777801514,11951200,0.0,0.0
1985-12-01,6.015625,6.3125,5.796875,5.953125,2.0245296955108643,13409600,0.0,0.0
1986-01-01,5.953125,5.984375,5.5,5.53125,1.8810582160949707,12875200,0.0425,0.0
1986-02-01,5.53125,6.28125,5.53125,6.25,2.1416258811950684,17804000,0.0,0.0
1986-03-01,6.25,7.28125,6.171875,7.15625,2.452162981033325,12192800,0.0,0.0
1986-04-01,7.140625,7.1875,6.3125,6.4375,2.2058751583099365,13460800,0.0475,0.0
1986-05-01,6.40625,6.875,6.15625,6.84375,2.36242938041687,11888000,0.0,0.0
1986-06-01,6.828125,7.03125,6.28125,6.984375,2.4109716415405273,11324000,0.0,0.0
1986-07-01,6.984375,7.546875,6.375,6.953125,2.4001829624176025,16972000,0.0475,0.0
1986-08-01,6.96875,7.484375,6.6875,7.40625,2.573316812515259,12302400,0.0,0.0
1986-09-01,7.40625,7.40625,5.625,5.640625,1.9598479270935059,13556000,0.0,0.0
1986-10-01,5.65625,6.4375,5.65625,6.078125,2.11185622215271,12632800,0.0475,0.0
1986-11-01,6.109375,6.421875,5.9375,6.265625,2.1932666301727295,11619200,0.0,0.0
1986-12-01,6.265625,6.671875,6.25,6.328125,2.2151434421539307,16291200,0.0,0.0
1987-01-01,6.359375,7.78125,6.359375,7.453125,2.6089468002319336,18164800,0.0475,0.0
1987-02-01,7.40625,7.734375,7.078125,7.671875,2.7026009559631348,11398400,0.0,0.0
1987-03-01,7.671875,8.140625,7.359375,7.859375,2.7686524391174316,11469600,0.0,0.0
1987-04-01,7.84375,8.09375,7.265625,7.359375,2.592515230178833,9481600,0.0,0.0
1987-05-01,7.328125,7.46875,6.21875,6.734375,2.372344493865967,18008800,0.0,0.0
1987-06-01,6.765625,8.4375,6.765625,8.21875,2.8952507972717285,11598000,0.0,2.0
1987-07-01,8.125,8.65625,7.4375,8.65625,3.049370527267456,12295600,0.055,0.0
1987-08-01,8.59375,9.0,8.0625,8.375,2.97055721282959,16576800,0.0,0.0
1987-09-01,8.375,8.40625,7.4375,8.09375,2.8707997798919678,10257200,0.0,0.0
1987-10-01,8.09375,8.4375,5.875,6.65625,2.3609275817871094,14357600,0.055,0.0
1987-11-01,6.6875,7.21875,5.875,6.5,2.3241004943847656,8704000,0.0,0.0
1987-12-01,6.5625,7.1875,6.3125,6.9375,2.480530261993408,9686000,0.0,0.0
1988-01-01,6.9375,7.5,6.53125,7.5,2.6816539764404297,15020800,0.055,0.0
1988-02-01,7.46875,7.5625,6.84375,7.5625,2.7254154682159424,10006800,0.0,0.0
1988-03-01,7.625,8.4375,7.59375,7.84375,2.8267738819122314,10239200,0.0,0.0
1988-04-01,7.8125,7.96875,6.90625,6.9375,2.500173807144165,11145600,0.065,0.0
1988-05-01,6.90625,7.1875,6.78125,7.1875,2.613402843475342,13252400,0.0,0.0
1988-06-01,7.15625,7.71875,6.96875,7.21875,2.6247639656066895,16456800,0.0,0.0
1988-07-01,7.25,7.34375,6.875,7.3125,2.65885329246521,7028800,0.065,0.0
1988-08-01,7.375,7.9375,7.09375,7.71875,2.8328733444213867,13719600,0.0,0.0
1988-09-01,7.75,8.1875,7.65625,8.125,2.981971263885498,7304400,0.0,0.0
1988-10-01,8.125,8.3125,7.8125,8.09375,2.9705007076263428,9170000,0.065,0.0
1988-11-01,8.0625,8.09375,7.6875,7.875,2.913257598876953,8902400,0.0,0.0
1988-12-01,7.84375,7.9375,7.6875,7.75,2.8670151233673096,7126800,0.0,0.0
1989-01-01,7.75,8.6875,7.53125,8.65625,3.2022714614868164,7712800,0.065,0.0
1989-02-01,8.59375,8.84375,7.6875,7.9375,2.960526943206787,7342000,0.0,0.0
1989-03-01,8.0,8.1875,7.75,7.875,2.9372165203094482,6434800,0.0,0.0
1989-04-01,7.84375,9.0625,7.84375,8.8125,3.286883592605591,9119600,0.0775,0.0
1989-05-01,8.75,9.5,8.65625,9.4375,3.5503575801849365,11640400,0.0,0.0
1989-06-01,9.5,10.0625,9.125,9.4375,3.5503575801849365,9639200,0.0,0.0
1989-07-01,9.46875,10.6875,9.40625,10.6875,4.020605087280273,8078400,0.0775,0.0
1989-08-01,10.6875,11.125,10.28125,10.78125,4.08705997467041,9782400,0.0,0.0
1989-09-01,10.75,10.9375,9.9375,10.40625,3.9449026584625244,6811200,0.0,0.0
1989-10-01,10.375,10.9375,10.25,10.53125,3.9922869205474854,10597200,0.0775,0.0
1989-11-01,10.53125,10.875,10.28125,10.5,4.009950160980225,6589600,0.0,0.0
1989-12-01,10.4375,10.8125,9.78125,10.5,4.009950160980225,7560800,0.0,0.0
1990-01-01,10.53125,10.96875,9.03125,9.6875,3.699658155441284,9023200,0.0775,0.0
1990-02-01,9.6875,9.875,9.4375,9.59375,3.692563056945801,5546800,0.0,0.0
1990-03-01,9.53125,10.0,9.25,9.9375,3.824866771697998,9995600,0.0,0.0
1990-04-01,9.875,10.40625,9.4375,9.53125,3.6685047149658203,7003600,0.09,0.0
1990-05-01,9.5625,10.78125,9.40625,10.625,4.126855850219727,9340800,0.0,0.0
1990-06-01,10.625,11.09375,10.15625,10.53125,4.090445518493652,11292000,0.0,0.0
1990-07-01,10.53125,11.34375,10.28125,10.96875,4.260374546051025,7742400,0.09,0.0
1990-08-01,10.90625,11.125,8.65625,9.375,3.6707935333251953,8272800,0.0,0.0
1990-09-01,9.3125,9.3125,8.25,8.46875,3.3159496784210205,6690000,0.0,0.0
1990-10-01,8.53125,9.25,8.03125,8.1875,3.2058260440826416,10112800,0.09,0.0
1990-11-01,8.125,9.21875,8.125,8.96875,3.5507538318634033,7620400,0.0,0.0
1990-12-01,9.03125,9.75,9.0,9.4375,3.736335515975952,4527200,0.0,0.0
1991-01-01,9.4375,9.90625,8.75,9.46875,3.748708963394165,6689600,0.09,0.0
1991-02-01,9.46875,10.0625,9.34375,9.84375,3.9335970878601074,6312000,0.0,0.0
1991-03-01,9.84375,10.09375,9.625,9.875,3.9460835456848145,8440800,0.0,0.0
1991-04-01,9.875,10.0,9.40625,9.625,3.8461854457855225,9418000,0.0975,0.0
1991-05-01,9.65625,10.3125,9.1875,10.1875,4.111557960510254,16448800,0.0,0.0
1991-06-01,10.15625,10.25,9.65625,9.8125,3.9602108001708984,7940800,0.0,0.0
1991-07-01,9.875,9.96875,9.53125,9.9375,4.010658264160156,8688000,0.0975,0.0
1991-08-01,9.9375,10.53125,9.78125,10.375,4.229800224304199,11249200,0.0,0.0
1991-09-01,10.34375,10.40625,9.9375,10.15625,4.140617847442627,6986800,0.0,0.0
1991-10-01,10.1875,10.25,9.65625,9.9375,4.051433086395264,6832000,0.0975,0.0
1991-11-01,9.96875,10.03125,9.25,9.28125,3.8202261924743652,6666800,0.0,0.0
1991-12-01,9.21875,10.59375,9.125,10.59375,4.360461711883545,6424000,0.0,0.0
1992-01-01,10.53125,12.1875,9.875,11.90625,4.900694847106934,16123200,0.0975,0.0
1992-02-01,11.84375,12.125,11.4375,11.78125,4.892611503601074,11730400,0.0,0.0
1992-03-01,12.03125,12.09375,11.5,11.625,4.827719688415527,6369200,0.0,0.0
1992-04-01,11.5625,12.3125,11.25,12.25,5.087275981903076,10227200,0.105,0.0
1992-05-01,12.4375,13.0,11.6875,11.875,4.975306034088135,7566800,0.0,0.0
1992-06-01,11.875,11.96875,10.4375,11.34375,4.752724647521973,9084000,0.0,0.0
1992-07-01,11.40625,11.90625,11.25,11.78125,4.936026096343994,6636800,0.105,0.0
1992-08-01,11.78125,12.0625,10.59375,11.1875,4.729755401611328,10017600,0.0,0.0
1992-09-01,11.125,11.15625,10.28125,10.84375,4.584425926208496,10188000,0.0,0.0
1992-10-01,10.90625,11.15625,10.1875,10.9375,4.624061107635498,11389200,0.105,0.0
1992-11-01,10.9375,11.4375,10.8125,11.34375,4.8421630859375,5785200,0.0,0.0
1992-12-01,11.25,11.75,11.21875,11.625,4.962215423583984,7106800,0.0,0.0
1993-01-01,11.6875,11.71875,11.0,11.1875,4.775468826293945,7588400,0.105,0.0
1993-02-01,11.1875,11.84375,11.09375,11.65625,5.021656036376953,8650000,0.0,0.0
1993-03-01,11.625,12.96875,11.5625,12.8125,5.519782543182373,10367600,0.0,0.0
1993-04-01,12.84375,12.84375,11.6875,12.28125,5.2909135818481445,10901600,0.1125,0.0
1993-05-01,12.375,12.625,12.09375,12.375,5.381890296936035,5937600,0.0,0.0
1993-06-01,12.40625,13.34375,12.125,13.03125,5.667293548583984,9650800,0.0,0.0
1993-07-01,13.25,13.84375,12.71875,13.0625,5.680881500244141,11760400,0.1125,0.0
1993-08-01,13.0,13.21875,11.78125,13.125,5.756596565246582,13367200,0.0,0.0
