Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1983-02-01,0.0,9.0,8.578125,8.625,7.834550380706787,3530667,0.0,0.0
1983-03-01,0.0,8.8125,7.875,8.390625,7.621653079986572,2093332,0.0,0.0
1983-04-01,0.0,8.53125,8.0625,8.203125,7.451338768005371,1297600,0.0,0.0
1983-05-01,0.0,9.9375,7.96875,9.46875,8.600972175598145,2498134,0.0,0.0
1983-06-01,0.0,11.53125,9.28125,10.6875,9.708028793334961,2587732,0.0,0.0
1983-07-01,0.0,10.78125,8.25,8.34375,7.579075813293457,1617066,0.0,0.0
1983-08-01,0.0,10.03125,8.25,8.578125,7.791971683502197,1371733,0.0,0.0
1983-09-01,0.0,9.75,7.828125,8.0625,7.323601245880127,1682132,0.0,0.0
1983-10-01,0.0,8.0625,6.140625,6.65625,6.046228885650635,1508001,0.0,0.0
1983-11-01,0.0,7.125,5.390625,7.078125,6.429441452026367,2001065,0.0,0.0
1983-12-01,0.0,7.078125,5.390625,5.71875,5.194647312164307,2900801,0.0,0.0
1984-01-01,5.71875,6.84375,5.296875,5.953125,5.407541751861572,4884534,0.0,0.0
1984-02-01,5.953125,6.0,5.203125,5.34375,4.8540143966674805,1943467,0.0,0.0
1984-03-01,5.34375,5.671875,4.453125,4.875,4.428224563598633,3235198,0.02625,0.0
1984-04-01,4.828125,9.140625,4.546875,9.140625,8.345022201538086,29292798,0.0,0.0
1984-05-01,9.140625,9.328125,8.859375,9.0,8.21663761138916,8914134,0.0,0.0
1984-06-01,8.953125,9.09375,8.4375,8.625,7.874275207519531,7805333,0.0,0.0
1984-07-01,8.71875,8.859375,5.953125,6.65625,6.076887130737305,18786666,0.0,0.0
1984-08-01,6.609375,7.875,6.328125,7.546875,6.88999080657959,12555734,0.0,0.0
1984-09-01,7.640625,7.96875,7.125,7.265625,6.633222579956055,4034132,0.0,0.0
1984-10-01,7.171875,7.828125,6.234375,6.421875,5.862912178039551,5181066,0.0,0.0
1984-11-01,6.46875,6.890625,5.953125,6.09375,5.563348770141602,5330666,0.0,0.0
1984-12-01,6.046875,6.328125,5.625,6.1875,5.648937702178955,4381334,0.0375,0.0
1985-01-01,6.140625,7.59375,6.046875,7.171875,6.586665153503418,9459466,0.0,0.0
1985-02-01,7.171875,8.71875,7.03125,8.390625,7.705963134765625,12157068,0.0,0.0
1985-03-01,8.390625,8.765625,8.015625,8.296875,7.61986780166626,5136800,0.0,0.0
1985-04-01,8.25,8.859375,7.734375,8.625,7.921215057373047,4827733,0.0,0.0
1985-05-01,8.625,10.078125,8.484375,9.84375,9.040520668029785,8915467,0.0,0.0
1985-06-01,9.890625,10.125,8.765625,9.421875,8.653066635131836,4912801,0.0375,0.0
1985-07-01,9.421875,9.9375,8.90625,9.1875,8.469934463500977,7254134,0.0,0.0
1985-08-01,9.1875,9.234375,8.203125,8.765625,8.081002235412598,3391203,0.0,0.0
1985-09-01,8.8125,9.140625,7.875,8.296875,7.648866176605225,2840267,0.0375,0.0
1985-10-01,8.25,9.75,8.0625,9.75,9.030257225036621,6170398,0.0,0.0
1985-11-01,9.75,10.78125,9.046875,10.359375,9.59465217590332,5939203,0.0,0.0
1985-12-01,10.171875,10.734375,9.609375,10.21875,9.464406967163086,5985334,0.0375,0.0
1986-01-01,10.21875,10.40625,9.0,9.328125,8.671642303466797,6504801,0.0,0.0
1986-02-01,9.46875,9.75,8.0625,9.1875,8.540914535522461,6779465,0.0,0.0
1986-03-01,9.328125,10.6875,8.8125,10.21875,9.499588012695312,8241065,0.0375,0.0
1986-04-01,10.3125,10.6875,9.65625,9.84375,9.189070701599121,5880000,0.0,0.0
1986-05-01,9.890625,9.984375,8.53125,8.90625,8.313918113708496,5921865,0.0,0.0
1986-06-01,8.90625,10.03125,8.25,9.0,8.401436805725098,6902668,0.0375,0.0
1986-07-01,9.0,9.0,5.390625,6.140625,5.756856441497803,8686133,0.0,0.0
1986-08-01,6.328125,7.359375,5.625,7.125,6.67971134185791,5910398,0.0,0.0
1986-09-01,7.03125,8.765625,6.28125,8.4375,7.910181999206543,11150132,0.0375,0.0
1986-10-01,8.390625,9.84375,8.15625,9.234375,8.70217227935791,14917602,0.0,0.0
1986-11-01,9.28125,9.375,6.75,7.921875,7.465315818786621,14355731,0.0,0.0
1986-12-01,7.78125,8.34375,6.421875,6.5625,6.184287071228027,7134399,0.0375,0.0
1987-01-01,6.609375,7.3125,6.375,7.125,6.74748420715332,4945067,0.0,0.0
1987-02-01,7.078125,7.3125,5.8125,6.09375,5.770873546600342,5489065,0.0,0.0
1987-03-01,6.046875,7.40625,5.8125,6.796875,6.4367451667785645,10170667,0.0,0.0
1987-04-01,6.5625,7.5,5.625,5.671875,5.371351718902588,8147999,0.0375,0.0
1987-05-01,5.671875,6.140625,5.390625,5.859375,5.577521324157715,4565868,0.0,0.0
1987-06-01,5.859375,6.140625,5.34375,5.578125,5.309799671173096,4286401,0.0375,0.0
1987-07-01,5.578125,6.28125,5.296875,5.765625,5.525113105773926,6053599,0.0,0.0
1987-08-01,5.8125,5.8125,5.296875,5.8125,5.570032119750977,5945334,0.0,0.0
1987-09-01,5.765625,6.75,5.625,6.75,6.4684247970581055,11225867,0.0375,0.0
1987-10-01,6.84375,7.171875,2.15625,3.328125,3.208306074142456,14682933,0.0,0.0
1987-11-01,3.375,3.75,2.953125,3.375,3.2534916400909424,10029601,0.0,0.0
1987-12-01,3.375,3.375,2.859375,3.1875,3.0727434158325195,6794135,0.0375,0.0
1988-01-01,3.234375,4.59375,3.1875,4.03125,3.931702136993408,9162933,0.0,0.0
1988-02-01,4.078125,4.546875,3.65625,4.453125,4.3431572914123535,6243198,0.0,0.0
1988-03-01,4.5,5.25,4.359375,4.78125,4.66317892074585,10265864,0.0,0.0
1988-04-01,4.78125,4.921875,4.078125,4.640625,4.526027679443359,7991733,0.0,0.0
1988-05-01,4.640625,5.625,4.21875,4.453125,4.3431572914123535,21102135,0.0,0.0
1988-06-01,4.40625,4.453125,3.421875,3.75,3.6573970317840576,9636800,0.0,0.0
1988-07-01,3.703125,4.59375,3.65625,3.890625,3.7945480346679688,6299198,0.0,0.0
1988-08-01,3.9375,3.984375,3.5625,3.609375,3.5202443599700928,7001601,0.0,0.0
1988-09-01,3.609375,3.84375,3.046875,3.046875,2.971634864807129,7971464,0.0,0.0
1988-10-01,3.09375,3.1875,2.25,2.34375,2.2858731746673584,15422667,0.0,0.0
1988-11-01,2.296875,2.390625,1.828125,1.96875,1.920133352279663,7048000,0.0,0.0
1988-12-01,1.921875,2.0625,1.78125,2.015625,1.965851068496704,10136799,0.0,0.0
1989-01-01,1.96875,2.015625,1.734375,1.78125,1.7372632026672363,4360001,0.0,0.0
1989-02-01,1.734375,2.015625,1.40625,1.453125,1.417240858078003,9130133,0.0,0.0
1989-03-01,1.453125,1.828125,1.40625,1.734375,1.6915465593338013,8462133,0.0,0.0
1989-04-01,1.6875,1.78125,1.546875,1.59375,1.5543931722640991,5675467,0.0,0.0
1989-05-01,1.59375,1.78125,1.453125,1.5,1.4629583358764648,8528000,0.0,0.0
1989-06-01,1.5,1.5,1.078125,1.171875,1.1429365873336792,6418401,0.0,0.0
1989-07-01,1.171875,1.265625,0.890625,0.890625,0.8686316013336182,3842132,0.0,0.0
1989-08-01,0.9375,1.171875,0.84375,1.125,1.0972185134887695,6432800,0.0,0.0
1989-09-01,1.125,1.21875,1.03125,1.125,1.0972185134887695,3431734,0.0,0.0
1989-10-01,1.125,1.125,0.796875,0.9375,0.9143492579460144,3207733,0.0,0.0
1989-11-01,0.9375,1.21875,0.84375,1.21875,1.1886537075042725,3822666,0.0,0.0
1989-12-01,1.171875,1.21875,1.03125,1.21875,1.1886537075042725,5608000,0.0,0.0
1990-01-01,1.171875,1.828125,1.171875,1.6875,1.6458282470703125,5573866,0.0,0.0
1990-02-01,1.640625,1.734375,1.359375,1.40625,1.3715237379074097,1257599,0.0,0.0
1990-03-01,1.40625,1.734375,1.3125,1.6875,1.6458282470703125,1374670,0.0,0.0
1990-04-01,1.640625,1.734375,1.453125,1.5,1.4629583358764648,971733,0.0,0.0
1990-05-01,1.453125,1.546875,1.359375,1.546875,1.5086761713027954,1048533,0.0,0.0
1990-06-01,1.453125,1.5,1.171875,1.453125,1.417240858078003,2034400,0.0,0.0
