Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-08-01,0.0,5.375,4.5625,5.0,2.986989974975586,159800,0.0,0.0
1985-09-01,0.0,5.0625,4.6875,4.6875,2.8003039360046387,161800,0.0,0.0
1985-10-01,0.0,4.9375,4.6875,4.8125,2.8749780654907227,40200,0.0,0.0
1985-11-01,0.0,4.8125,4.5,4.5,2.6882898807525635,47400,0.0,0.0
1985-12-01,0.0,4.5,3.875,3.9375,2.3522536754608154,578000,0.0,0.0
1986-01-01,0.0,4.0625,3.5625,3.75,2.2402424812316895,359800,0.0,0.0
1986-02-01,0.0,3.8125,3.1875,3.25,1.9415432214736938,362600,0.0,0.0
1986-03-01,0.0,4.1875,3.1875,3.75,2.2402424812316895,409400,0.0,0.0
1986-04-01,0.0,4.0,3.5,3.5625,2.128230094909668,302000,0.0,0.0
1986-05-01,0.0,4.0,3.375,3.8125,2.2775797843933105,448800,0.0,0.0
1986-06-01,0.0,3.75,3.5,3.5625,2.128230094909668,174800,0.0,0.0
1986-07-01,0.0,3.5625,2.25,2.375,1.4188202619552612,514200,0.0,0.0
1986-08-01,0.0,3.1875,2.3125,2.75,1.6428446769714355,191000,0.0,0.0
1986-09-01,0.0,3.1875,2.6875,2.9375,1.7548565864562988,162800,0.0,0.0
1986-10-01,0.0,3.1875,2.6875,3.0,1.7921942472457886,195400,0.0,0.0
1986-11-01,0.0,3.125,2.875,2.875,1.7175185680389404,119000,0.0,0.0
1986-12-01,0.0,2.9375,2.375,2.4375,1.4561572074890137,269000,0.0,0.0
1987-01-01,0.0,3.125,2.4375,2.875,1.7175185680389404,175800,0.0,0.0
1987-02-01,0.0,3.1875,2.6875,2.9375,1.7548565864562988,143200,0.0,0.0
1987-03-01,0.0,2.9375,2.6875,2.8125,1.6801823377609253,156000,0.0,0.0
1987-04-01,0.0,3.0,2.5,3.0,1.7921942472457886,222200,0.0,0.0
1987-05-01,0.0,3.0,2.6875,2.8125,1.6801823377609253,131200,0.0,0.0
1987-06-01,0.0,2.8125,2.5625,2.625,1.5681698322296143,134800,0.0,0.0
1987-07-01,0.0,3.0625,2.625,2.75,1.6428446769714355,237600,0.0,0.0
1987-08-01,0.0,2.875,2.5625,2.625,1.5681698322296143,192800,0.0,0.0
1987-09-01,0.0,2.625,2.3125,2.5625,1.5308318138122559,170600,0.0,0.0
1987-10-01,0.0,2.6875,1.5,2.0625,1.232132911682129,578800,0.0,0.0
1987-11-01,0.0,2.375,1.5625,1.625,0.9707716107368469,214600,0.0,0.0
1987-12-01,0.0,1.6875,1.0,1.0625,0.6347352862358093,580800,0.0,0.0
1988-01-01,0.0,1.375,1.125,1.25,0.7467474937438965,188200,0.0,0.0
1988-02-01,0.0,1.3125,1.0,1.0625,0.6347352862358093,232200,0.0,0.0
1988-03-01,0.0,1.25,1.0,1.25,0.7467474937438965,147600,0.0,0.0
1988-04-01,0.0,1.25,1.0625,1.1875,0.7094101309776306,172400,0.0,0.0
1988-05-01,0.0,1.1875,1.0625,1.0625,0.6347352862358093,171800,0.0,0.0
1988-06-01,1.0625,1.125,0.9375,1.0,0.597398042678833,153000,0.0,0.0
1988-07-01,0.0,1.0625,0.875,0.9375,0.5600606203079224,109800,0.0,0.0
1988-08-01,0.0,1.625,0.9375,1.5,0.8960971236228943,422400,0.0,0.0
1988-09-01,0.0,1.6875,1.4375,1.46875,0.8774282932281494,427400,0.0,0.0
1988-10-01,0.0,2.9375,1.9375,2.0,1.194796085357666,160200,0.0,0.0
1988-11-01,0.0,2.25,1.8125,1.9375,1.157458782196045,270400,0.0,0.0
1988-12-01,0.0,2.375,1.875,2.375,1.4188202619552612,547200,0.0,0.0
1989-01-01,0.0,2.5,2.3125,2.4375,1.4561572074890137,281800,0.0,0.0
1989-02-01,0.0,3.875,2.375,3.5,2.0908925533294678,1745600,0.0,0.0
1989-03-01,0.0,3.8125,3.125,3.4375,2.053556442260742,437400,0.0,0.0
1989-04-01,0.0,4.0,3.1875,3.9375,2.3522536754608154,1233400,0.0,0.0
1989-05-01,0.0,4.375,3.75,4.25,2.5389411449432373,888000,0.0,0.0
1989-06-01,0.0,4.375,4.0625,4.25,2.5389411449432373,372200,0.0,0.0
1989-07-01,0.0,4.625,4.0625,4.5,2.6882898807525635,736600,0.0,0.0
1989-08-01,0.0,4.4375,3.9375,4.1875,2.501603603363037,350400,0.0,0.0
1989-09-01,0.0,4.5625,4.125,4.5,2.6882898807525635,552400,0.0,0.0
1989-10-01,0.0,5.5625,4.5,5.25,3.1363396644592285,1138000,0.0,0.0
1989-11-01,0.0,6.1875,5.125,5.875,3.5097131729125977,497800,0.0,0.0
1989-12-01,0.0,7.375,6.0,6.75,4.032435417175293,1076400,0.0,0.0
1990-01-01,0.0,6.75,5.875,6.125,3.659062147140503,700200,0.0,0.0
1990-02-01,0.0,6.75,6.0625,6.125,3.659062147140503,405000,0.0,0.0
1990-03-01,0.0,6.6875,6.0625,6.3125,3.7710745334625244,664200,0.0,0.0
1990-04-01,0.0,6.5,6.0625,6.125,3.659062147140503,204800,0.0,0.0
1990-05-01,0.0,7.25,6.1875,6.5625,3.9204235076904297,614800,0.0,0.0
1990-06-01,0.0,6.6875,5.5,6.625,3.9577620029449463,305800,0.0,0.0
1990-07-01,0.0,6.9375,6.5,6.875,4.107112884521484,908400,0.0,0.0
1990-08-01,0.0,7.625,6.125,6.375,3.808411121368408,972400,0.0,0.0
1990-09-01,0.0,7.625,6.25,7.5,4.480484962463379,577600,0.0,0.0
1990-10-01,0.0,7.4375,5.9375,6.125,3.659062147140503,474400,0.0,0.0
1990-11-01,0.0,6.3125,5.5625,5.6875,3.397700786590576,629600,0.0,0.0
1990-12-01,0.0,5.75,4.875,5.75,3.435037136077881,717600,0.0,0.0
1991-01-01,0.0,5.6875,4.5,4.8125,2.8749780654907227,672600,0.0,0.0
1991-02-01,0.0,5.75,4.75,5.3125,3.1736791133880615,905200,0.0,0.0
1991-03-01,0.0,5.4375,4.6875,5.0,2.986989974975586,764600,0.0,0.0
1991-04-01,0.0,4.9375,4.625,4.625,2.762964963912964,351200,0.0,0.0
1991-05-01,0.0,5.375,4.6875,5.375,3.2110142707824707,259200,0.0,0.0
1991-06-01,0.0,5.8125,4.75,4.75,2.8376405239105225,282800,0.0,0.0
1991-07-01,0.0,5.125,4.3125,5.0625,3.024327039718628,400400,0.0,0.0
1991-08-01,0.0,5.5,4.875,5.25,3.1363396644592285,469200,0.0,0.0
1991-09-01,0.0,5.9375,5.3125,5.875,3.5097131729125977,745400,0.0,0.0
1991-10-01,5.875,6.25,5.375,5.875,3.5097131729125977,397600,0.0,0.0
1991-11-01,0.0,6.25,5.3125,5.5,3.285689353942871,822800,0.0,0.0
1991-12-01,5.375,5.5,4.375,4.4375,2.6509530544281006,340000,0.0,0.0
1992-01-01,4.375,4.5,3.8125,3.9375,2.3522536754608154,229000,0.0,0.0
1992-02-01,3.9375,4.5,3.875,4.3125,2.5762786865234375,255800,0.0,0.0
1992-03-01,4.3125,4.625,4.25,4.3125,2.5762786865234375,252600,0.0,0.0
1992-04-01,4.1875,4.5,3.9375,4.5,2.6882898807525635,390000,0.0,0.0
1992-05-01,4.5,5.625,4.5,5.5,3.285689353942871,313000,0.0,0.0
1992-06-01,5.4375,5.5,4.875,5.25,3.1363396644592285,3248200,0.0,0.0
1992-07-01,5.25,6.9375,5.25,6.875,4.107112884521484,2856600,0.0,0.0
1992-08-01,6.9375,7.625,6.875,7.625,4.555159568786621,2152400,0.0,0.0
1992-09-01,7.625,8.0,7.4375,7.75,4.62983512878418,2229600,0.0,0.0
1992-10-01,7.75,7.75,6.8125,7.375,4.40580940246582,1943600,0.0,0.0
1992-11-01,7.5,7.5625,6.75,6.9375,4.144447326660156,2721400,0.0,0.0
1992-12-01,7.0,7.8125,6.5,7.5,4.480484962463379,2240600,0.0,0.0
1993-01-01,7.625,8.25,7.1875,8.25,4.928531646728516,2917000,0.0,0.0
1993-02-01,8.25,10.5,7.6875,9.75,5.824628829956055,5816000,0.0,0.0
1993-03-01,9.875,12.1875,9.875,11.625,6.944751262664795,4448600,0.0,0.0
1993-04-01,11.5625,12.125,10.6875,10.8125,6.459365367889404,1491000,0.0,0.0
1993-05-01,10.75,11.3125,9.9375,10.6875,6.384690284729004,2880000,0.0,0.0
1993-06-01,11.0,13.5,11.0,13.4375,8.027538299560547,1743400,0.015,0.0
1993-07-01,13.5,13.5,10.75,11.125,6.654326438903809,1566600,0.0,0.0
1993-08-01,11.0625,12.4375,10.3125,12.1875,7.289850234985352,1990200,0.0,0.0
1993-09-01,12.0625,13.25,12.0625,12.75,7.626307487487793,2410400,0.015,0.0
1993-10-01,12.625,13.625,10.0,10.0625,6.026216983795166,2665400,0.0,0.0
1993-11-01,10.0625,10.875,8.8125,9.1875,5.502197265625,2186400,0.0,0.0
1993-12-01,9.125,10.3125,8.5625,10.3125,6.175940990447998,2757000,0.015,0.0
1994-01-01,10.3125,11.4375,10.0,10.25,6.148753643035889,3064600,0.0,0.0
1994-02-01,10.3125,10.75,9.625,9.75,5.848816394805908,1767400,0.0,0.0
1994-03-01,9.625,10.25,8.875,8.875,5.323921203613281,2004200,0.015,0.0
1994-04-01,8.75,10.8125,8.625,10.8125,6.495992183685303,973000,0.0,0.0
1994-05-01,10.75,12.3125,10.5625,10.625,6.383344650268555,1454200,0.0,0.0
1994-06-01,10.5625,13.25,10.5625,11.25,6.758838176727295,2228600,0.015,0.0
1994-07-01,11.375,11.625,9.875,10.125,6.091165542602539,1112400,0.0,0.0
1994-08-01,10.1875,10.8125,10.125,10.5,6.316766738891602,762600,0.0,0.0
1994-09-01,10.375,11.375,10.0,10.4375,6.279165267944336,1497000,0.015,0.0
1994-10-01,10.375,11.125,9.75,10.9375,6.5892653465271,1206200,0.0,0.0
1994-11-01,10.875,10.875,8.5,9.625,5.798551559448242,639800,0.0,0.0
1994-12-01,9.6875,9.75,8.0,9.125,5.497331142425537,2507600,0.015,0.0
1995-01-01,9.125,9.125,8.375,8.5,5.129469394683838,1262600,0.0,0.0
1995-02-01,8.5,9.8125,8.5,9.0,5.431203842163086,1655600,0.0,0.0
1995-03-01,9.0,10.6875,9.0,10.5,6.336402416229248,2199000,0.015,0.0
1995-04-01,10.46875,11.25,10.375,10.375,6.270807266235352,1540000,0.0,0.0
1995-05-01,10.5,10.9375,10.0,10.75,6.497466087341309,2260000,0.0,0.0
1995-06-01,10.8125,11.625,10.3125,10.75,6.497466087341309,1421000,0.015,0.0
1995-07-01,10.75,10.9375,9.0,9.8125,5.938787937164307,2603400,0.0,0.0
1995-08-01,9.875,10.75,9.5625,10.5625,6.392706871032715,1043200,0.0,0.0
1995-09-01,10.6875,11.9375,10.6875,10.9375,6.61966609954834,1325600,0.015,0.0
1995-10-01,10.9375,11.375,10.75,10.875,6.590252876281738,682200,0.0,0.0
1995-11-01,10.8125,12.25,10.75,12.0625,7.309878349304199,571400,0.0,0.0
1995-12-01,12.0625,13.0,11.8125,12.75,7.726500988006592,1560400,0.015,0.0
1996-01-01,12.75,12.875,10.625,12.3125,7.470431327819824,2143400,0.0,0.0
1996-02-01,12.0625,12.0625,10.625,11.1875,6.787857532501221,1599600,0.0,0.0
1996-03-01,11.0,12.0,9.9375,11.75,7.129143714904785,1908800,0.015,0.0
1996-04-01,11.875,12.875,11.0,12.75,7.747286796569824,2059800,0.0,0.0
1996-05-01,12.6875,12.9375,11.5,12.75,7.747286796569824,1587000,0.0,0.0
1996-06-01,12.8125,13.0625,12.0625,12.25,7.443472862243652,1301000,0.015,0.0
1996-07-01,12.3125,13.75,11.375,11.6875,7.110387325286865,4037000,0.0,0.0
1996-08-01,12.1875,12.9375,11.375,11.375,6.9202680587768555,2022600,0.0,0.0
1996-09-01,11.375,12.75,11.375,12.75,7.756785869598389,3371200,0.015,0.0
1996-10-01,12.625,17.75,12.625,17.4375,10.622175216674805,5772200,0.0,0.0
1996-11-01,17.4375,18.25,17.0,18.125,11.040980339050293,3360000,0.0,0.0
1996-12-01,18.25,18.5,15.625,17.375,10.584105491638184,2889000,0.025,0.0
1997-01-01,17.375,19.4375,17.1875,17.6875,10.790753364562988,3042200,0.0,0.0
1997-02-01,17.5,18.125,15.25,15.625,9.53247356414795,3234600,0.0,0.0
1997-03-01,15.375,16.5,14.75,15.0,9.151168823242188,2638800,0.025,0.0
1997-04-01,14.875,16.5,13.6875,16.5,10.08167552947998,4130200,0.0,0.0
1997-05-01,16.625,19.125,16.625,18.5,11.30370044708252,3855400,0.0,0.0
1997-06-01,18.8125,19.25,17.25,18.375,11.227320671081543,3252800,0.025,0.0
1997-07-01,18.40625,19.21875,18.0625,19.03125,11.64491081237793,2249400,0.0,0.0
1997-08-01,19.03125,21.4375,18.8125,21.34375,13.059883117675781,2270000,0.0,0.0
1997-09-01,21.625,22.625,20.5,22.0,13.461434364318848,3182800,0.025,0.0
1997-10-01,22.09375,24.5625,21.25,22.375,13.706581115722656,2884800,0.0,0.0
1997-11-01,22.375,23.4375,19.09375,19.4375,11.907114028930664,1670800,0.0,0.0
1997-12-01,19.3125,19.4375,17.5,19.25,11.792250633239746,4365200,0.025,0.0
1998-01-01,19.25,19.25,16.4375,17.4375,10.696643829345703,3839200,0.0,0.0
1998-02-01,17.5,18.0,16.625,17.03125,10.447446823120117,3443000,0.0,0.0
1998-03-01,17.125,20.5625,16.875,19.4375,11.923503875732422,3803600,0.025,0.0
1998-04-01,19.4375,20.25,18.03125,19.9375,12.24699592590332,3410000,0.0,0.0
