Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-01-01,23.8125,23.8125,20.625,21.875,8.049749374389648,33731000,0.0,0.0
1994-02-01,21.125,22.0,20.8125,20.875,7.681757926940918,21232800,0.0,0.0
1994-03-01,20.8125,20.875,19.8125,20.125,7.405768871307373,14213600,0.2,0.0
1994-04-01,19.8125,22.625,19.75,22.25,8.270191192626953,15823600,0.0,0.0
1994-05-01,22.25,24.4375,21.9375,24.0625,8.943886756896973,12898800,0.0,0.0
1994-06-01,24.0,24.125,22.75,23.875,8.874190330505371,9647000,0.2,0.0
1994-07-01,23.6875,26.0,23.1875,25.8125,9.676486015319824,13493000,0.0,0.0
1994-08-01,25.75,26.75,24.875,26.375,9.887351989746094,13488000,0.0,0.0
1994-09-01,26.375,28.0,25.75,27.1875,10.191936492919922,8301200,0.2,0.0
1994-10-01,27.3125,27.375,25.125,27.0,10.198627471923828,10890400,0.0,0.0
1994-11-01,26.9375,27.125,22.625,23.5625,8.900181770324707,14368600,0.0,0.0
1994-12-01,23.625,26.125,23.1875,25.25,9.537604331970215,8296400,0.2,0.0
1995-01-01,25.1875,26.9375,24.25,24.875,9.476388931274414,8623400,0.0,0.0
1995-02-01,24.875,27.5,24.6875,27.375,10.428786277770996,8087400,0.0,0.0
1995-03-01,27.5,28.0625,26.875,27.8125,10.595457077026367,13747600,0.2,0.0
1995-04-01,27.8125,28.875,26.25,28.25,10.840795516967773,9042200,0.0,0.0
1995-05-01,28.375,30.5,27.8125,30.0,11.512337684631348,11529200,0.0,0.0
1995-06-01,29.9375,30.1875,28.4375,29.75,11.416410446166992,10614000,0.2,0.0
1995-07-01,29.8125,32.1875,29.5625,32.0,12.363298416137695,12019200,0.0,0.0
1995-08-01,32.0625,33.375,31.375,32.3125,12.484033584594727,12554800,0.0,0.0
1995-09-01,32.3125,34.75,31.375,32.0,12.363298416137695,12007000,0.21,0.0
1995-10-01,32.0,32.1875,29.375,29.75,11.566375732421875,12580600,0.0,0.0
1995-11-01,29.75,34.1875,29.5,32.875,12.781335830688477,14496200,0.0,0.0
1995-12-01,33.0,33.5625,29.8125,31.1875,12.125253677368164,11985200,0.21,0.0
1996-01-01,31.25,33.5,30.0625,33.0625,12.937994003295898,13167000,0.0,0.0
1996-02-01,32.9375,38.125,32.5625,36.0,14.08749008178711,14665800,0.0,0.0
1996-03-01,36.125,37.4375,33.9375,34.5,13.500511169433594,16869400,0.21,0.0
1996-04-01,34.5,34.625,32.3125,33.625,13.237395286560059,14671200,0.0,0.0
1996-05-01,33.625,34.1875,32.375,33.5,13.188176155090332,14644000,0.0,0.0
1996-06-01,33.5,34.1875,29.875,30.4375,11.982544898986816,12602000,0.21,0.0
1996-07-01,30.5625,31.1875,25.375,26.125,10.348611831665039,16309400,0.0,0.0
1996-08-01,26.125,28.6875,25.625,27.9375,11.066579818725586,12584400,0.0,0.0
1996-09-01,27.5,29.3125,27.25,29.1875,11.561728477478027,16042000,0.22,0.0
1996-10-01,29.0625,29.1875,26.0,26.375,10.530007362365723,11631200,0.0,0.0
1996-11-01,26.375,29.25,26.3125,28.5625,11.403356552124023,9355000,0.0,0.0
1996-12-01,28.3125,29.0625,26.9375,27.625,11.029065132141113,10781400,0.22,0.0
1997-01-01,27.625,28.5,26.9375,27.3125,10.990270614624023,13098400,0.0,0.0
1997-02-01,27.25,28.25,27.0,27.5625,11.090868949890137,5517400,0.0,0.0
1997-03-01,27.3125,28.5,26.75,26.875,10.814224243164062,9948200,0.22,0.0
1997-04-01,26.875,27.0625,25.5,25.5,10.342198371887207,11183000,0.0,0.0
1997-05-01,25.5,29.875,25.375,29.75,12.065900802612305,15192600,0.0,0.0
1997-06-01,29.75,32.25,29.3125,31.75,12.87704849243164,12212000,0.22,0.0
1997-07-01,31.625,32.0,28.6875,30.25,12.359134674072266,14636200,0.0,0.0
1997-08-01,29.9375,30.625,28.9375,29.90625,12.218684196472168,5955800,0.0,0.0
1997-09-01,30.125,31.34375,29.625,31.0,12.665556907653809,10355000,0.22,0.0
1997-10-01,31.03125,32.6875,29.0,29.8125,12.270562171936035,8721200,0.0,0.0
