Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,13.75,14.0,12.75,13.75,2.6197195053100586,10414600,0.0,0.0
1985-02-01,13.75,14.625,13.625,14.375,2.7387990951538086,7453600,0.0,0.0
1985-03-01,14.375,14.625,13.0,13.625,2.595904588699341,16808200,0.445,0.0
1985-04-01,13.75,14.25,12.125,12.875,2.5306758880615234,9188900,0.0,0.0
1985-05-01,13.0,14.75,12.875,14.25,2.8009414672851562,17354600,0.0,0.0
1985-06-01,14.5,15.25,13.75,14.375,2.825512647628784,17076100,0.445,0.0
1985-07-01,14.375,15.625,11.125,11.875,2.4080214500427246,15647800,0.0,0.0
1985-08-01,11.75,12.5,8.125,9.625,1.9517630338668823,43256400,0.0,0.0
1985-09-01,9.75,10.0,8.75,9.125,1.8503735065460205,10668900,0.0,0.0
1985-10-01,9.125,10.0,8.5,9.125,1.8503735065460205,11331300,0.0,0.0
1985-11-01,9.125,10.375,8.625,9.75,1.9771108627319336,12703700,0.0,0.0
1985-12-01,9.625,10.875,9.375,10.625,2.1545448303222656,17366500,0.0,0.0
1986-01-01,10.625,12.25,10.5,11.875,2.4080214500427246,13815900,0.0,0.0
1986-02-01,11.75,12.5,11.125,12.0,2.433367967605591,11649900,0.0,0.0
1986-03-01,12.0,13.75,11.25,13.125,2.6614956855773926,20957600,0.0,0.0
1986-04-01,13.375,14.375,12.25,12.5,2.534757614135742,17022200,0.0,0.0
1986-05-01,12.375,13.5,12.125,13.25,2.686842441558838,10612900,0.0,0.0
1986-06-01,13.0,13.375,12.5,13.0,2.6361477375030518,9379600,0.0,0.0
1986-07-01,13.0,13.5,12.25,13.0,2.6361477375030518,12523700,0.0,0.0
1986-08-01,13.0,15.0,12.75,14.25,2.8896234035491943,17799000,0.0,0.0
1986-09-01,14.375,14.625,12.0,13.0,2.6361477375030518,10066800,0.0,0.0
1986-10-01,13.0,13.625,12.25,13.625,2.7628862857818604,8779200,0.0,0.0
1986-11-01,13.5,14.125,13.375,13.875,2.8135814666748047,7317700,0.0,0.0
1986-12-01,13.75,14.0,13.0,13.125,2.6614956855773926,10427100,0.0,0.0
1987-01-01,13.125,16.25,13.125,15.875,3.2191436290740967,19655100,0.0,0.0
1987-02-01,15.75,16.5,14.125,14.25,2.8896234035491943,17369400,0.0,0.0
1987-03-01,14.375,15.0,13.0,13.625,2.7628862857818604,17457500,0.0,0.0
1987-04-01,13.5,14.625,10.0,11.5,2.3319780826568604,14825400,0.0,0.0
1987-05-01,11.625,11.75,10.0,10.5,2.129197359085083,11304000,0.0,0.0
1987-06-01,10.625,11.75,10.125,10.625,2.1545448303222656,12340000,0.0,0.0
1987-07-01,10.625,11.125,9.75,10.0,2.0278055667877197,12364500,0.0,0.0
1987-08-01,9.875,10.5,9.25,10.125,2.053154468536377,15671400,0.0,0.0
1987-09-01,10.0,10.625,9.25,10.5,2.129197359085083,8939600,0.0,0.0
1987-10-01,10.625,11.625,8.125,9.25,1.8757215738296509,15119200,0.0,0.0
1987-11-01,9.25,9.375,7.875,8.0,1.6222443580627441,9742700,0.0,0.0
1987-12-01,7.875,9.0,7.75,8.25,1.672940731048584,10131300,0.0,0.0
1988-01-01,8.5,10.0,8.375,10.0,2.0278055667877197,5269200,0.0,0.0
1988-02-01,10.0,10.0,9.125,9.625,1.9517630338668823,4761400,0.0,0.0
1988-03-01,9.5,10.125,8.625,9.75,1.9771108627319336,8905100,0.0,0.0
1988-04-01,9.625,10.375,9.0,9.125,1.8503735065460205,11232100,0.0,0.0
1988-05-01,9.0,9.875,8.625,9.875,2.0024595260620117,10329500,0.0,0.0
1988-06-01,9.75,14.125,9.75,13.75,2.788233995437622,24563500,0.0,0.0
1988-07-01,13.625,13.75,12.75,13.375,2.712191104888916,8566600,0.0,0.0
1988-08-01,13.375,13.75,12.625,13.625,2.7628862857818604,10921800,0.0,0.0
1988-09-01,13.75,15.125,12.625,15.0,3.041708469390869,13666600,0.0,0.0
1988-10-01,15.0,16.0,15.0,15.5,3.1431005001068115,13783200,0.0,0.0
1988-11-01,15.5,16.0,15.25,15.875,3.2191436290740967,7562200,0.2,0.0
1988-12-01,15.875,16.125,14.875,16.0,3.2858877182006836,8231800,0.0,0.0
1989-01-01,15.875,16.5,15.5,16.375,3.362898826599121,7348600,0.0,0.0
1989-02-01,16.375,16.625,15.875,16.5,3.388571262359619,6268800,0.2,0.0
1989-03-01,16.5,17.125,16.375,17.125,3.56007719039917,6014400,0.0,0.0
1989-04-01,17.125,18.0,16.875,17.75,3.6900062561035156,5438500,0.0,0.0
1989-05-01,17.875,18.5,17.5,18.0,3.7419793605804443,6015600,0.2,0.0
1989-06-01,18.0,19.625,18.0,19.25,4.047121524810791,9691500,0.0,0.0
1989-07-01,19.125,21.125,19.125,20.0,4.204804420471191,7607100,0.0,0.0
1989-08-01,20.875,21.875,20.75,21.75,4.572721004486084,6984900,0.25,0.0
1989-09-01,21.25,23.0,21.125,22.625,4.812317848205566,8397200,0.0,0.0
1989-10-01,22.625,22.625,20.125,21.25,4.5198564529418945,9388200,0.0,0.0
1989-11-01,21.25,22.375,20.875,22.25,4.732556343078613,5720600,0.25,0.0
1989-12-01,22.25,23.25,22.125,23.25,5.00412654876709,7607600,0.0,0.0
1990-01-01,23.125,23.625,21.125,21.625,4.654375076293945,7872400,0.0,0.0
1990-02-01,21.625,21.875,19.5,20.75,4.466047286987305,11294700,0.25,0.0
1990-03-01,20.875,21.0,20.0,20.75,4.517978668212891,7440400,0.0,0.0
1990-04-01,20.5,21.125,18.75,19.125,4.1641621589660645,7780900,0.0,0.0
1990-05-01,19.125,20.625,18.75,20.0,4.354676246643066,7860400,0.25,0.0
1990-06-01,20.0,20.875,18.875,19.875,4.384400844573975,7704500,0.0,0.0
1990-07-01,19.875,20.125,19.0,19.5,4.301673889160156,9732400,0.0,0.0
1990-08-01,19.5,19.5,18.0,18.375,4.053504943847656,14772700,0.25,0.0
1990-09-01,18.25,19.5,18.25,19.25,4.303912162780762,7165900,0.0,0.0
1990-10-01,19.125,21.0,19.0,20.75,4.639282703399658,7346000,0.0,0.0
1990-11-01,20.875,22.25,20.625,22.125,4.946706771850586,7620300,0.3,0.0
1990-12-01,22.125,23.375,21.875,22.375,5.07423734664917,5653000,0.0,0.0
1991-01-01,22.375,23.5,21.875,23.0,5.215974807739258,7140700,0.0,0.0
1991-02-01,22.75,24.375,22.375,23.5,5.329367637634277,9235400,0.3,0.0
1991-03-01,23.25,24.625,23.125,24.5,5.630393028259277,5449600,0.0,0.0
1991-04-01,24.375,25.0,23.375,24.875,5.716574192047119,7967400,0.0,0.0
1991-05-01,24.875,25.0,23.875,24.0,5.515489101409912,7597900,0.3,0.0
1991-06-01,24.0,24.125,23.125,23.25,5.408025741577148,5712400,0.0,0.0
1991-07-01,23.375,24.625,23.25,24.5,5.6987810134887695,5357700,0.0,0.0
1991-08-01,24.5,24.75,23.5,24.625,5.727853298187256,9439800,0.3,0.0
1991-09-01,24.5,26.125,24.375,26.0,6.122654914855957,9056600,0.0,0.0
1991-10-01,26.0,27.75,26.0,27.625,6.505324363708496,8826200,0.0,0.0
1991-11-01,27.625,29.0,27.25,27.875,6.56419038772583,8797500,0.35,0.0
1991-12-01,27.75,29.875,27.625,29.625,7.065002918243408,8562800,0.0,0.0
1992-01-01,29.5,29.625,27.25,27.875,6.647664546966553,9679200,0.0,0.0
1992-02-01,28.0,28.125,27.25,27.875,6.647664546966553,8361300,0.35,0.0
1992-03-01,27.875,28.5,27.125,27.375,6.611060619354248,7994900,0.0,0.0
1992-04-01,27.125,28.0,26.125,26.75,6.4601216316223145,11281700,0.0,0.0
1992-05-01,26.875,27.75,26.625,27.375,6.611060619354248,8000500,0.35,0.0
1992-06-01,27.375,28.5,26.875,28.25,6.912389278411865,9795600,0.0,0.0
1992-07-01,28.25,31.25,28.25,31.125,7.615864276885986,6838900,0.0,0.0
1992-08-01,31.125,31.5,30.375,31.25,7.646448612213135,7382400,0.35,0.0
1992-09-01,31.125,31.875,30.125,31.875,7.888810157775879,8763800,0.0,0.0
1992-10-01,31.875,32.25,30.5,32.125,7.950685501098633,5571400,0.0,0.0
1992-11-01,31.75,32.25,30.5,32.25,7.981621265411377,4940300,0.4,0.0
1992-12-01,32.125,33.625,31.5,33.0,8.270215034484863,7022500,0.0,0.0
1993-01-01,33.0,34.75,32.5,34.75,8.708786964416504,6424700,0.0,0.0
1993-02-01,34.625,36.5,34.125,36.125,9.05338191986084,6261000,0.4,0.0
1993-03-01,36.125,36.375,34.625,35.375,8.964679718017578,6534800,0.0,0.0
1993-04-01,35.375,38.25,35.125,35.5,8.996356010437012,6624800,0.0,0.0
1993-05-01,35.0,35.5,33.25,34.625,8.774622917175293,6232200,0.4,0.0
1993-06-01,34.625,36.625,34.125,36.25,9.291109085083008,6343400,0.0,0.0
1993-07-01,36.375,37.625,36.25,37.125,9.515373229980469,4384400,0.0,0.0
1993-08-01,37.25,39.625,37.125,39.625,10.156147956848145,4295700,0.4,0.0
1993-09-01,39.5,39.875,38.375,38.75,10.037185668945312,5237100,0.0,0.0
1993-10-01,38.875,39.25,38.125,39.0,10.101937294006348,5792800,0.0,0.0
1993-11-01,38.875,39.0,35.25,36.875,9.551514625549316,9221000,0.45,0.0
1993-12-01,37.0,37.125,35.125,36.0,9.437365531921387,18156600,0.0,0.0
1994-01-01,35.75,37.25,35.25,37.25,9.765056610107422,15388000,0.0,0.0
1994-02-01,37.125,37.375,32.5,33.25,8.71645736694336,12712200,0.45,0.0
1994-03-01,33.125,33.625,31.125,31.75,8.426770210266113,13039300,0.0,0.0
1994-04-01,31.25,32.125,30.0,30.625,8.128181457519531,11255100,0.0,0.0
1994-05-01,30.0,30.25,26.625,28.875,7.663717269897461,17477900,0.45,0.0
1994-06-01,29.0,30.25,24.625,24.75,6.666867256164551,19062300,0.0,0.0
1994-07-01,24.75,26.125,24.375,25.5,6.868886947631836,9413300,0.0,0.0
1994-08-01,25.5,26.25,24.25,24.875,6.700531482696533,15465700,0.45,0.0
1994-09-01,24.875,24.875,22.625,23.25,6.375879287719727,14283300,0.0,0.0
1994-10-01,23.25,24.75,22.5625,23.375,6.410155296325684,15624000,0.0,0.0
1994-11-01,23.25,23.5,21.75,22.5,6.170205593109131,14329700,0.45,0.0
1994-12-01,22.5,23.0,21.25,21.875,6.117860794067383,15689800,0.0,0.0
1995-01-01,21.875,24.5,21.875,24.375,6.817045211791992,10768100,0.0,0.0
1995-02-01,24.375,24.375,22.125,22.375,6.257696151733398,12006100,0.45,0.0
1995-03-01,22.375,22.5,20.0,20.875,5.947995185852051,12002900,0.0,0.0
1995-04-01,20.875,21.875,20.875,21.75,6.197310924530029,8470000,0.0,0.0
1995-05-01,21.75,24.75,21.5,24.75,7.052114963531494,12870400,0.45,0.0
1995-06-01,24.625,25.5,24.125,24.125,7.014318943023682,13173200,0.0,0.0
1995-07-01,24.25,24.875,23.75,23.75,6.905289173126221,7462500,0.0,0.0
1995-08-01,23.875,25.0,23.75,24.125,7.014318943023682,14331800,0.45,0.0
1995-09-01,24.0,26.125,23.625,26.125,7.736477851867676,9390400,0.0,0.0
1995-10-01,26.0,28.875,26.0,28.5,8.439799308776855,15505400,0.0,0.0
1995-11-01,28.5,28.875,27.25,27.875,8.254714012145996,12516300,0.45,0.0
1995-12-01,27.875,29.25,26.5,29.25,8.802108764648438,17385600,0.0,0.0
1996-01-01,29.125,30.375,28.625,29.625,8.914957046508789,17502200,0.0,0.0
1996-02-01,29.5,30.375,28.125,28.375,8.538792610168457,20261500,0.45,0.0
1996-03-01,28.5,28.75,26.375,28.0,8.55318832397461,11094900,0.0,0.0
1996-04-01,28.0,28.125,25.25,26.375,8.056793212890625,13148200,0.0,0.0
1996-05-01,26.375,28.25,25.625,26.25,8.01861572265625,12535700,0.45,0.0
1996-06-01,26.0,28.5,25.625,28.375,8.819659233093262,8716200,0.0,0.0
1996-07-01,28.5,28.625,24.875,25.5,7.926033973693848,11172600,0.0,0.0
1996-08-01,25.5,27.0,25.25,25.375,7.887182235717773,9924000,0.45,0.0
1996-09-01,25.375,27.5,24.875,27.0,8.538644790649414,13053000,0.0,0.0
1996-10-01,26.875,28.375,26.75,28.0,8.854894638061523,11462900,0.0,0.0
1996-11-01,28.125,29.0,27.125,27.125,8.578177452087402,14650600,0.45,0.0
1996-12-01,27.125,28.75,27.0,27.625,8.875832557678223,12322100,0.0,0.0
1997-01-01,27.75,28.375,26.125,27.25,8.755349159240723,13924300,0.0,0.0
1997-02-01,26.75,27.25,26.0,26.375,8.474211692810059,17901500,0.45,0.0
1997-03-01,26.25,27.0,24.0,24.5,8.006468772888184,10110100,0.0,0.0
1997-04-01,24.125,24.625,22.375,23.375,7.638823986053467,15213600,0.0,0.0
1997-05-01,23.25,26.5,23.125,26.375,8.6192045211792,20445100,0.45,0.0
1997-06-01,26.5,27.5,26.125,27.5,9.149922370910645,12962200,0.0,0.0
1997-07-01,27.25,28.0,26.25,27.3125,9.087533950805664,14091100,0.0,0.0
1997-08-01,26.75,26.75,24.0625,24.8125,8.25572395324707,17681800,0.45,0.0
1997-09-01,24.875,26.1875,24.875,26.0625,8.824735641479492,12785900,0.0,0.0
1997-10-01,25.25,26.1875,23.0,24.375,8.253347396850586,27873900,0.0,0.0
1997-11-01,24.625,26.0625,23.21875,26.0,8.803568840026855,22205200,0.45,0.0
1997-12-01,26.0625,30.25,26.0,29.9375,10.326972961425781,15356600,0.0,0.0
1998-01-01,29.9375,30.125,27.625,28.625,9.874221801757812,17129800,0.0,0.0
1998-02-01,28.8125,29.25,28.1875,28.9375,9.982013702392578,13312800,0.45,0.0
1998-03-01,28.8125,29.8125,27.3125,29.75,10.424043655395508,28318700,0.0,0.0
1998-04-01,29.5625,29.625,24.5,24.875,8.715903282165527,15939000,0.0,0.0
1998-05-01,24.875,26.5,23.25,26.3125,9.219585418701172,27634900,0.45,0.0
1998-06-01,26.3125,29.125,26.25,28.75,10.25327205657959,22363800,0.0,0.0
1998-07-01,28.6875,29.0,26.8125,27.375,9.76290225982666,15778800,0.0,0.0
1998-08-01,27.375,29.625,26.1875,28.8125,10.275566101074219,14053700,0.3,0.0
1998-09-01,28.8125,30.8125,27.4375,30.75,11.089186668395996,19010600,0.0,0.0
1998-10-01,30.75,32.0,28.0625,28.75,10.367938995361328,16377300,0.0,0.0
1998-11-01,29.125,30.375,28.9375,29.3125,10.570789337158203,11342600,0.3,0.0
1998-12-01,29.5,32.4375,29.3125,31.125,11.337324142456055,12583000,0.0,0.0
1999-01-01,30.9375,31.4375,29.0625,29.4375,10.722654342651367,11508300,0.0,0.0
1999-02-01,29.5625,30.0,27.9375,28.25,10.29010009765625,12755300,0.3,0.0
1999-03-01,27.75,30.0625,27.5,27.5,10.121393203735352,13866300,0.0,0.0
1999-04-01,27.3125,31.6875,27.3125,31.25,11.501585960388184,15300500,0.0,0.0
1999-05-01,31.0625,32.9375,30.75,32.4375,11.938641548156738,15947300,0.3,0.0
1999-06-01,32.3125,33.5,31.25,31.25,11.613750457763672,10129700,0.0,0.0
1999-07-01,31.0,31.75,29.8125,30.3125,11.265336990356445,10083700,0.0,0.0
1999-08-01,30.4375,31.125,28.625,29.8125,11.07951831817627,10465500,0.3,0.0
1999-09-01,29.8125,31.0,28.0,28.9375,10.86093807220459,15120100,0.0,0.0
