Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-02-01,2.966614007949829,2.966614007949829,2.6471331119537354,2.8981540203094482,1.2005698680877686,26515539,0.0,0.0
1996-03-01,2.8753340244293213,2.920974016189575,2.510211944580078,2.784053087234497,1.1533032655715942,9551883,0.0,0.0
1996-04-01,2.784053087234497,3.0578949451446533,2.6471331119537354,3.0578949451446533,1.2667434215545654,2594205,0.0,0.0
1996-05-01,3.012253999710083,3.5142970085144043,2.920974016189575,3.42301607131958,1.4179959297180176,6721593,0.0,0.0
1996-06-01,3.4686570167541504,3.833777904510498,3.377376079559326,3.833777904510498,1.5881556272506714,4777585,0.0,0.0
1996-07-01,3.7424979209899902,4.564022064208984,3.7424979209899902,4.244540214538574,1.7583158016204834,11336490,0.0,0.0
1996-08-01,4.153260231018066,4.427101135253906,4.153260231018066,4.427101135253906,1.833942174911499,1918811,0.0,0.0
1996-09-01,4.2901811599731445,5.5681071281433105,4.2901811599731445,5.3855462074279785,2.2309799194335938,2698825,0.0,0.0
1996-10-01,5.431186199188232,5.84194803237915,5.202984809875488,5.476826190948486,2.2687935829162598,2042605,0.0,0.0
1996-11-01,5.476826190948486,5.705027103424072,5.476826190948486,5.5909271240234375,2.316061496734619,691276,0.0,0.0
1996-12-01,5.5909271240234375,5.659387111663818,5.52246618270874,5.52246618270874,2.2877004146575928,737836,0.0,0.0
1997-01-01,5.52246618270874,5.659387111663818,5.020423889160156,5.157344818115234,2.1364471912384033,1788993,0.0,0.0
1997-02-01,5.111703872680664,5.202984809875488,4.837862968444824,5.111703872680664,2.117540121078491,1683822,0.0,0.0
1997-03-01,5.06606388092041,5.157344818115234,3.9250590801239014,4.5183820724487305,1.8717554807662964,2049728,0.0,0.0
1997-04-01,4.5183820724487305,4.609662055969238,4.244540214538574,4.2901811599731445,1.777221918106079,980497,0.0,0.0
1997-05-01,4.358641147613525,5.111703872680664,4.358641147613525,5.088883876800537,2.1080873012542725,2387150,0.0,0.0
1997-06-01,5.020423889160156,5.476826190948486,4.974783897399902,5.476826190948486,2.2687935829162598,4069328,0.0,0.0
1997-07-01,5.339906215667725,6.252709865570068,5.339906215667725,5.887588024139404,2.438953161239624,3129368,0.0,0.0
1997-08-01,5.750667095184326,5.887588024139404,5.339906215667725,5.750667095184326,2.3822333812713623,1908404,0.0,0.0
1997-09-01,5.750667095184326,6.617832183837891,5.6137471199035645,6.3896307945251465,2.6469264030456543,1585225,0.0,0.0
1997-10-01,6.480910778045654,7.2567949295043945,6.298349857330322,7.017183780670166,2.9068925380706787,3955391,0.0,0.0
1997-11-01,7.0742340087890625,7.0742340087890625,6.480910778045654,6.937313079833984,2.8738062381744385,1884305,0.0,0.0
