Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,0.0,7.75,7.3125,7.34375,1.1028786897659302,1528400,0.0,0.0
1985-02-01,0.0,7.5625,7.28125,7.46875,1.1216500997543335,1525600,0.0,0.0
1985-03-01,0.0,8.09375,7.4375,8.03125,1.2061268091201782,1123200,0.0,0.0
1985-04-01,0.0,8.8125,8.125,8.46875,1.2718299627304077,1884000,0.0,0.0
1985-05-01,0.0,9.125,8.40625,9.0,1.35161292552948,1429200,0.0,0.0
1985-06-01,0.0,9.09375,8.84375,9.09375,1.3656915426254272,959600,0.0,0.0
1985-07-01,0.0,10.09375,8.84375,8.875,1.3328405618667603,1969600,0.0,0.0
1985-08-01,0.0,9.40625,8.59375,9.15625,1.3750784397125244,1034000,0.0,0.0
1985-09-01,0.0,9.15625,8.625,8.71875,1.3093745708465576,946400,0.0,0.0
1985-10-01,0.0,9.25,8.6875,9.09375,1.3656915426254272,1591600,0.0,0.0
1985-11-01,0.0,9.90625,9.0,9.78125,1.468940258026123,1599600,0.0,0.0
1985-12-01,0.0,10.125,9.59375,10.09375,1.5158706903457642,962800,0.0,0.0
1986-01-01,0.0,10.5625,9.75,10.46875,1.5721890926361084,1431200,0.0,0.0
1986-02-01,0.0,11.46875,10.46875,11.34375,1.703594446182251,1021200,0.0,0.0
1986-03-01,0.0,11.71875,11.25,11.71875,1.759912371635437,1067200,0.0,0.0
1986-04-01,0.0,12.4375,11.5,11.53125,1.731751799583435,794000,0.0,0.0
1986-05-01,0.0,12.03125,11.1875,11.90625,1.7880704402923584,1187200,0.0,0.0
1986-06-01,0.0,12.46875,11.875,12.375,1.8584657907485962,1216000,0.0,0.0
1986-07-01,0.0,14.3125,12.3125,13.875,2.083735942840576,1437600,0.0,0.0
1986-08-01,0.0,15.0625,13.8125,14.28125,2.1447455883026123,1558000,0.0,0.0
1986-09-01,0.0,14.40625,12.125,13.21875,1.9851816892623901,1433600,0.0,0.0
1986-10-01,0.0,13.75,13.0,13.34375,2.0039522647857666,1362000,0.0,0.0
1986-11-01,0.0,13.625,12.6875,13.21875,1.9851816892623901,850400,0.0,0.0
1986-12-01,0.0,13.5,12.5,12.5,1.8772400617599487,1782000,0.0,0.0
1987-01-01,0.0,13.6875,12.59375,13.25,1.9898738861083984,1707600,0.19,0.0
1987-02-01,0.0,13.5,12.8125,13.03125,1.985156536102295,1281600,0.0,0.0
1987-03-01,0.0,13.09375,12.1875,12.5,1.904227375984192,1166000,0.0,0.0
1987-04-01,0.0,12.5,10.625,11.0,1.6757203340530396,2014800,0.19,0.0
1987-05-01,0.0,11.875,11.0,11.8125,1.8297251462936401,1006000,0.0,0.0
1987-06-01,0.0,12.0,11.4375,12.0,1.858768343925476,845600,0.0,0.0
1987-07-01,0.0,12.1875,11.625,11.71875,1.815203309059143,2829200,0.195,0.0
1987-08-01,0.0,12.1875,11.5,12.0625,1.899477481842041,1140000,0.0,0.0
1987-09-01,0.0,12.125,11.40625,11.75,1.8502682447433472,665200,0.0,0.0
1987-10-01,0.0,12.0,10.9375,11.4375,1.801059365272522,951200,0.195,0.0
