Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-02-01,21.25,24.5,21.125,22.625,4.012772560119629,1010100,0.0,0.0
1994-03-01,22.625,24.0,22.0,23.125,4.1014533042907715,421700,0.0,0.0
1994-04-01,23.0,24.625,22.75,24.375,4.323153495788574,251400,0.26,0.0
1994-05-01,24.625,25.75,24.0,25.0,4.482564449310303,269700,0.0,0.0
1994-06-01,25.0,27.0,24.5,25.0,4.482564449310303,304200,0.0,0.0
1994-07-01,25.0,26.875,24.25,24.5,4.392911434173584,124200,0.45,0.0
1994-08-01,24.75,25.75,24.125,24.5,4.468434810638428,1203400,0.0,0.0
1994-09-01,24.375,25.0,24.25,24.625,4.491234302520752,391600,0.0,0.0
1994-10-01,24.875,25.875,23.625,24.875,4.536832809448242,438300,0.45,0.0
1994-11-01,24.875,25.125,24.0,24.5,4.5487060546875,249500,0.0,0.0
1994-12-01,24.5,26.75,23.25,26.75,4.9664459228515625,416800,0.0,0.0
1995-01-01,26.75,26.875,24.625,25.25,4.687954425811768,284500,0.5,0.0
1995-02-01,25.25,26.875,24.625,25.75,4.875926971435547,339900,0.0,0.0
1995-03-01,25.5,26.0,25.0,25.75,4.875926971435547,272400,0.0,0.0
1995-04-01,26.25,26.375,24.625,25.0,4.733907222747803,248600,0.5,0.0
1995-05-01,25.0,26.375,24.875,25.125,4.850407123565674,1226100,0.0,0.0
1995-06-01,24.875,25.75,24.75,25.0,4.826275825500488,278100,0.5,0.0
1995-07-01,25.0,25.375,24.75,25.0,4.923288345336914,628500,0.0,0.0
1995-08-01,25.0,26.375,24.875,25.625,5.046368598937988,421200,0.0,0.0
1995-09-01,25.875,26.25,24.25,24.75,4.874054431915283,526300,0.0,0.0
1995-10-01,24.625,25.125,22.5,23.0,4.529422760009766,1160200,0.5,0.0
1995-11-01,23.0,23.0,21.625,22.625,4.546971797943115,831200,0.0,0.0
1995-12-01,22.75,25.25,22.625,24.75,4.974034786224365,542600,0.0,0.0
1996-01-01,24.625,25.5,24.0,25.0,5.02427864074707,684800,0.51,0.0
1996-02-01,25.0,26.875,24.875,25.125,5.153491020202637,690400,0.0,0.0
1996-03-01,25.125,26.5,25.125,25.75,5.281684875488281,271900,0.0,0.0
1996-04-01,25.5,26.625,25.0,26.375,5.409884452819824,296300,0.51,0.0
1996-05-01,26.375,26.625,25.125,25.25,5.282244682312012,261800,0.0,0.0
1996-06-01,25.25,26.375,25.125,25.375,5.308396816253662,173200,0.0,0.0
1996-07-01,25.5,25.875,25.125,25.375,5.308396816253662,503200,0.51,0.0
1996-08-01,25.375,25.375,23.75,24.25,5.175555229187012,456500,0.0,0.0
1996-09-01,24.125,25.125,23.875,25.125,5.362302303314209,502200,0.0,0.0
1996-10-01,25.125,26.75,24.625,25.375,5.415659427642822,2753700,0.51,0.0
1996-11-01,25.375,26.375,25.125,25.5,5.549644470214844,530900,0.0,0.0
1996-12-01,25.375,28.875,25.375,28.875,6.284158706665039,615800,0.0,0.0
1997-01-01,28.625,29.25,27.625,29.125,6.338567733764648,482400,0.535,0.0
1997-02-01,29.25,29.75,28.625,29.0,6.429985523223877,416300,0.0,0.0
1997-03-01,29.0,29.5,27.875,28.0,6.2082600593566895,1291700,0.0,0.0
1997-04-01,28.0,28.5,25.0,25.875,5.737098693847656,666000,0.535,0.0
1997-05-01,26.0,27.25,25.75,26.625,6.02161169052124,779600,0.0,0.0
1997-06-01,26.75,28.875,26.375,28.0625,6.346726417541504,579500,0.0,0.0
1997-07-01,28.0,28.75,27.1875,27.5625,6.233643054962158,464400,0.535,0.0
1997-08-01,27.6875,28.125,26.625,27.4375,6.325158596038818,408800,0.0,0.0
1997-09-01,27.5,30.5,27.5,29.6875,6.843851089477539,596400,0.0,0.0
1997-10-01,29.6875,30.0625,26.625,28.25,6.512466907501221,1898500,0.535,0.0
1997-11-01,28.5,29.0,26.9375,27.625,6.489675045013428,797900,0.0,0.0
1997-12-01,27.5625,29.1875,27.375,28.5625,6.7099127769470215,1288800,0.0,0.0
1998-01-01,28.6875,29.875,28.5,28.9375,6.798006534576416,885500,0.55,0.0
1998-02-01,29.1875,29.1875,27.625,28.3125,6.776463508605957,741000,0.0,0.0
1998-03-01,28.375,28.375,27.5,28.1875,6.746543884277344,937400,0.0,0.0
1998-04-01,28.125,29.0625,26.5,26.625,6.37256383895874,951700,0.55,0.0
1998-05-01,26.6875,27.9375,26.625,26.9375,6.574514865875244,777200,0.0,0.0
1998-06-01,26.875,26.9375,25.625,26.3125,6.421973705291748,1210900,0.0,0.0
1998-07-01,26.4375,28.0,26.0,26.375,6.437229633331299,1122500,0.55,0.0
1998-08-01,26.625,26.625,23.0,23.0,5.730788230895996,895100,0.0,0.0
1998-09-01,23.0,27.25,22.9375,25.875,6.4471354484558105,671900,0.0,0.0
1998-10-01,25.875,26.0,22.75,24.5,6.104537487030029,964900,0.55,0.0
1998-11-01,24.5625,24.75,23.875,24.375,6.210361957550049,689300,0.0,0.0
1998-12-01,24.1875,24.3125,22.625,22.6875,5.780412197113037,1118600,0.0,0.0
1999-01-01,22.6875,23.9375,22.625,23.1875,5.907805442810059,942900,0.575,0.0
1999-02-01,23.375,23.625,22.0,22.25,5.808844566345215,655300,0.0,0.0
1999-03-01,22.25,24.125,20.875,21.375,5.580408573150635,987000,0.0,0.0
1999-04-01,21.625,25.0,21.1875,23.8125,6.216768264770508,843000,0.575,0.0
1999-05-01,24.0,24.25,22.25,22.75,6.080284595489502,737100,0.0,0.0
1999-06-01,22.8125,23.5,22.0,23.125,6.180506706237793,1003200,0.0,0.0
1999-07-01,23.125,23.125,21.0,21.875,5.846428871154785,633100,0.575,0.0
1999-08-01,22.125,22.25,21.0,21.8125,5.980889320373535,964400,0.0,0.0
1999-09-01,21.8125,22.875,21.3125,21.5,5.895204067230225,1009000,0.0,0.0
1999-10-01,21.5,23.0,21.4375,22.125,6.066573143005371,1173600,0.575,0.0
1999-11-01,22.125,23.0625,22.0625,22.1875,6.240138530731201,997400,0.0,0.0
