Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-11-01,8.3125,8.3125,7.3125,7.5,5.88047456741333,44080000,0.0,0.0
1994-12-01,7.5,7.8125,7.3125,7.8125,6.125495433807373,38267800,0.0,0.0
1995-01-01,7.8125,7.8125,6.875,7.0625,5.537447929382324,67408400,0.0,0.0
1995-02-01,7.0625,7.3125,6.875,7.3125,5.733463764190674,43003400,0.0,0.0
1995-03-01,7.3125,7.625,7.25,7.4375,5.831470966339111,57260000,0.0,0.0
1995-04-01,7.4375,7.625,7.125,7.375,5.782465934753418,40168800,0.0,0.0
1995-05-01,7.375,7.875,7.3125,7.5,5.88047456741333,50787200,0.0,0.0
1995-06-01,7.5,7.75,7.375,7.4375,5.831470966339111,62688400,0.0,0.0
1995-07-01,7.4375,8.0,7.1875,7.9375,6.223505020141602,58579200,0.0,0.0
1995-08-01,7.9375,8.3125,7.875,8.1875,6.419517993927002,47984600,0.0,0.0
1995-09-01,8.1875,8.375,8.125,8.1875,6.419517993927002,41224200,0.0,0.0
1995-10-01,8.25,8.5625,8.0625,8.4375,6.615536689758301,54777400,0.0,0.0
1995-11-01,8.5,9.0,8.5,8.8125,6.909560680389404,39241200,0.0,0.0
1995-12-01,8.8125,9.25,8.6875,9.1875,7.203580379486084,38357000,0.0,0.0
1996-01-01,9.1875,9.6875,8.875,9.1875,7.203580379486084,135001600,0.0,0.0
1996-02-01,9.1875,9.4375,8.625,8.9375,7.007564544677734,71189000,0.0,0.0
1996-03-01,8.9375,9.0,8.375,8.5625,6.713542938232422,82468000,0.0,0.0
1996-04-01,8.5625,8.6875,8.3125,8.625,6.762547969818115,66842600,0.0,0.0
1996-05-01,8.625,9.3125,8.1875,9.0625,7.105576038360596,79242800,0.0,0.0
1996-06-01,9.0,9.125,8.75,8.8125,6.909560680389404,48955600,0.0,0.0
1996-07-01,8.8125,8.875,7.9375,8.125,6.370513439178467,66289000,0.0,0.0
1996-08-01,8.125,8.5,8.0625,8.125,6.370513439178467,50148000,0.0,0.0
1996-09-01,8.125,8.5625,8.0,8.4375,6.615536689758301,66338200,0.0,0.0
1996-10-01,8.4375,8.875,8.0625,8.1875,6.419517993927002,96253000,0.0,0.0
1996-11-01,8.1875,8.75,7.8125,8.5,6.664539337158203,56231200,0.0,0.0
1996-12-01,8.5,9.3125,8.0625,8.9375,7.007564544677734,34949200,0.0,0.0
1997-01-01,8.8125,9.5,8.6875,9.0,7.056568622589111,37612400,0.0,0.0
1997-02-01,9.0,9.5,8.9375,9.1875,7.203580379486084,34464800,0.0,0.0
1997-03-01,9.1875,10.3125,9.0,9.5,7.44860315322876,32077200,0.0,0.0
1997-04-01,9.5,9.875,8.9375,9.25,7.252588272094727,23341400,0.0,0.0
1997-05-01,9.5,10.125,9.3125,9.8125,7.693620681762695,27277200,0.0,0.0
1997-06-01,9.8125,10.3125,9.4375,9.875,7.742624759674072,23192800,0.0,0.0
1997-07-01,9.875,10.5,9.6875,10.125,7.9386420249938965,23230000,0.0,0.0
1997-08-01,10.125,10.875,9.9375,10.5,8.232666015625,18551600,0.0,0.0
1997-09-01,10.5625,10.8125,10.125,10.625,8.330673217773438,13626200,0.0,0.0
1997-10-01,10.625,11.0625,9.5,10.75,8.428677558898926,18697600,0.0,0.0
1997-11-01,10.75,11.3125,10.3125,10.5,8.232666015625,9745600,0.0,0.0
1997-12-01,10.5625,11.75,10.3125,11.625,9.11473274230957,21424200,0.0,0.0
1998-01-01,11.625,12.375,11.4375,12.0,9.408754348754883,25674600,0.0,0.0
1998-02-01,12.0,12.5625,11.8125,12.5625,9.849793434143066,16355200,0.0,0.0
1998-03-01,12.5625,13.25,12.3125,12.8125,10.045807838439941,22708000,0.0,0.0
1998-04-01,12.8125,13.9375,12.5,13.3125,10.437845230102539,36206000,0.0,0.0
1998-05-01,13.3125,13.75,12.1875,12.6875,9.947808265686035,17893000,0.0,0.0
1998-06-01,12.6875,13.6875,12.5,13.5,10.584853172302246,18381600,0.0,0.0
1998-07-01,12.9375,12.9375,10.1875,10.3125,8.085653305053711,30160800,0.0,0.0
1998-08-01,10.3125,10.4375,8.625,8.625,6.762547969818115,35289400,0.0,0.0
1998-09-01,8.6875,10.1875,8.1875,10.125,7.9386420249938965,25306400,0.0,0.0
1998-10-01,10.125,10.625,8.5625,10.625,8.330673217773438,25321200,0.0,0.0
1998-11-01,10.625,11.4375,10.5625,11.3125,8.869719505310059,19978000,0.0,0.0
1998-12-01,11.25,11.9375,10.6875,11.875,9.310747146606445,23325200,0.0,0.0
1999-01-01,11.8125,12.0,11.0,11.4375,8.967724800109863,22578000,0.0,0.0
1999-02-01,11.4375,13.3125,11.0625,12.875,10.09481430053711,30222200,0.0,0.0
1999-03-01,13.0625,13.875,12.875,13.375,10.486845970153809,31600400,0.0,0.0
1999-04-01,13.375,14.6875,12.875,13.8125,10.829872131347656,19329400,0.0,0.0
1999-05-01,13.8125,15.0625,12.4375,13.125,10.290830612182617,20676800,0.0,0.0
1999-06-01,13.125,14.1875,12.5625,13.3125,10.437845230102539,17165800,0.0,0.0
1999-07-01,13.3125,14.1875,11.25,11.9375,9.359756469726562,19251600,0.0,0.0
1999-08-01,11.9375,12.1875,8.75,9.8125,7.693620681762695,48781600,0.0,0.0
1999-09-01,9.8125,12.875,9.5625,11.25,8.820711135864258,40699400,0.0,0.0
1999-10-01,11.1875,11.625,9.9375,11.0625,8.673704147338867,25498200,0.0,0.0
1999-11-01,11.0625,11.4375,10.0,10.125,7.9386420249938965,41828800,0.0,0.0
1999-12-01,10.125,11.375,9.625,11.0625,8.673704147338867,41893000,0.0,0.0
2000-01-01,11.0625,11.0625,9.4375,9.4375,7.39959716796875,31242200,0.0,0.0
2000-02-01,9.4375,10.6875,9.25,9.8125,7.693620681762695,44269200,0.0,0.0
2000-03-01,9.8125,11.4375,9.5625,10.75,8.428677558898926,30081400,0.0,0.0
2000-04-01,10.75,11.4375,9.9375,11.3125,8.869719505310059,23777800,0.0,0.0
2000-05-01,11.3125,11.875,10.875,11.5625,9.065729141235352,24334000,0.0,0.0
2000-06-01,11.5625,12.6875,10.6875,10.75,8.428677558898926,25852000,0.0,0.0
2000-07-01,10.75,11.5625,10.3125,11.125,8.722701072692871,16042400,0.0,0.0
2000-08-01,11.125,12.5625,11.125,12.4375,9.751791000366211,30850200,0.0,0.0
2000-09-01,12.4375,13.125,11.75,12.9375,10.143823623657227,39864800,0.0,0.0
2000-10-01,13.0,14.3125,11.3125,13.15625,10.31533432006836,22288400,0.0,0.0
2000-11-01,13.1875,13.21875,12.625,12.96875,10.168320655822754,10501200,0.0225,0.0
2000-12-01,12.90625,13.71875,11.9375,12.84375,10.08807373046875,8890200,0.0,0.0
2001-01-01,12.78125,14.600000381469727,12.78125,14.0,10.996243476867676,16460200,0.0,0.0
2001-02-01,14.050000190734863,14.350000381469727,13.399999618530273,13.479999542236328,10.587812423706055,13195800,0.0225,0.0
2001-03-01,13.604999542236328,13.920000076293945,13.055000305175781,13.779999732971191,10.840983390808105,23081000,0.0,0.0
2001-04-01,13.975000381469727,16.299999237060547,13.104999542236328,15.699999809265137,12.351481437683105,15882000,0.0,0.0
2001-05-01,15.6899995803833,16.59000015258789,15.100000381469727,16.040000915527344,12.618967056274414,10930800,0.0225,0.0
2001-06-01,16.0,17.424999237060547,16.0,16.75,13.196221351623535,16223000,0.0,0.0
2001-07-01,16.924999237060547,17.100000381469727,15.300000190734863,16.6299991607666,13.101679801940918,17259000,0.0,0.0
2001-08-01,16.7549991607666,17.600000381469727,16.510000228881836,17.19499969482422,13.54681396484375,13605000,0.0225,0.0
2001-09-01,17.125,18.5,15.949999809265137,18.5,14.594310760498047,22417400,0.0,0.0
2001-10-01,18.375,18.579999923706055,15.729999542236328,17.360000610351562,13.694988250732422,28340000,0.0,0.0
2001-11-01,17.75,18.0,16.774999618530273,17.334999084472656,13.675268173217773,17266600,0.0225,0.0
2001-12-01,17.385000228881836,20.549999237060547,17.15999984741211,19.93000030517578,15.742444038391113,16464200,0.0,0.0
