Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-03-01,23.75,24.875,21.5,22.0,14.671009063720703,3017800,0.0,0.0
1994-04-01,21.625,23.0,18.25,23.0,15.337873458862305,1395500,0.0,0.0
1994-05-01,22.75,24.0,18.0,19.375,12.92049503326416,1568400,0.0,0.0
1994-06-01,19.25,22.5,19.25,22.0,14.671009063720703,529800,0.0,0.0
1994-07-01,22.0,22.25,21.25,22.0,14.671009063720703,347300,0.0,0.0
1994-08-01,21.875,22.0,19.0,19.5,13.0038480758667,642100,0.11,0.0
1994-09-01,19.75,20.25,18.75,20.0,13.410592079162598,1259400,0.0,0.0
1994-10-01,20.0,22.375,20.0,20.625,13.829670906066895,511700,0.0,0.0
1994-11-01,20.375,20.375,17.875,18.0,12.069523811340332,613300,0.11,0.0
1994-12-01,18.25,18.625,17.0,17.75,11.971199989318848,729400,0.0,0.0
1995-01-01,17.75,19.5,16.5,18.375,12.392720222473145,574700,0.0,0.0
1995-02-01,18.5,19.875,18.375,18.625,12.56132698059082,1178900,0.11,0.0
1995-03-01,18.625,19.375,18.25,19.125,12.974663734436035,287700,0.0,0.0
1995-04-01,19.125,20.875,19.125,20.75,14.07707691192627,267100,0.0,0.0
1995-05-01,20.75,21.75,20.5,21.25,14.416288375854492,215600,0.11,0.0
1995-06-01,21.25,21.375,19.75,20.0,13.63846492767334,272300,0.0,0.0
1995-07-01,20.0,20.5,19.25,20.0,13.63846492767334,907600,0.0,0.0
1995-08-01,20.125,20.125,18.625,19.0,12.95654582977295,856200,0.11,0.0
1995-09-01,19.0,19.875,18.5,19.625,13.46119213104248,398200,0.0,0.0
1995-10-01,19.75,20.375,18.625,19.0,13.032487869262695,695900,0.0,0.0
1995-11-01,19.125,20.375,19.0,20.375,13.975630760192871,446700,0.11,0.0
1995-12-01,20.25,22.125,20.25,20.625,14.22437858581543,286400,0.0,0.0
1996-01-01,20.875,21.375,20.125,21.125,14.569218635559082,571500,0.0,0.0
1996-02-01,21.0,23.25,21.0,22.5,15.517499923706055,197500,0.11,0.0
1996-03-01,22.5,23.0,21.625,22.75,15.766148567199707,916400,0.0,0.0
1996-04-01,22.75,23.0,21.5,22.875,15.85278034210205,441600,0.0,0.0
1996-05-01,22.875,24.875,22.875,24.125,16.719051361083984,199000,0.11,0.0
1996-06-01,24.0,24.375,23.25,24.25,16.881868362426758,469800,0.0,0.0
1996-07-01,24.125,24.75,22.5,22.625,15.750603675842285,207700,0.0,0.0
1996-08-01,22.875,23.5,21.5,22.0,15.31550121307373,219400,0.12,0.0
1996-09-01,21.875,22.75,19.5,21.375,14.962480545043945,3832400,0.0,0.0
1996-10-01,21.5,25.75,20.875,23.75,16.62498664855957,10945800,0.0,0.0
1996-11-01,23.625,24.0,22.75,23.5,16.449983596801758,5247100,0.12,0.0
1996-12-01,23.75,23.75,22.75,23.25,16.3585147857666,3526500,0.0,0.0
1997-01-01,23.125,26.75,23.0,26.625,18.733144760131836,2284200,0.0,0.0
1997-02-01,26.75,28.375,25.8125,26.375,18.557241439819336,2487500,0.12,0.0
1997-03-01,26.375,27.75,25.625,25.75,18.198379516601562,1755700,0.0,0.0
1997-04-01,25.625,27.375,25.0,27.25,19.25847625732422,2053300,0.0,0.0
1997-05-01,27.375,29.5,27.125,28.75,20.318574905395508,1269300,0.12,0.0
1997-06-01,28.625,33.0,28.5,32.375,22.97555923461914,1393400,0.0,0.0
1997-07-01,32.25,35.25,32.25,34.5625,24.5279483795166,1165500,0.0,0.0
1997-08-01,34.5,37.375,33.0,34.9375,24.79408836364746,3203300,0.12,0.0
1997-09-01,34.9375,36.0,34.25,36.0,25.63506317138672,1879600,0.0,0.0
1997-10-01,35.9375,38.5,34.5,34.875,24.8339786529541,1776800,0.0,0.0
1997-11-01,35.0,36.5,34.375,34.625,24.65595245361328,1232400,0.12,0.0
1997-12-01,34.625,37.0625,33.8125,36.5625,26.125822067260742,1544200,0.0,0.0
1998-01-01,36.5625,38.5,35.8125,38.0,27.15300941467285,3059700,0.0,0.0
1998-02-01,38.25,39.4375,36.375,38.0625,27.19767189025879,3075600,0.12,0.0
1998-03-01,38.125,47.75,37.5,43.1875,30.959489822387695,3924300,0.0,0.0
1998-04-01,43.1875,49.3125,42.1875,46.9375,33.64772033691406,2619900,0.0,0.0
1998-05-01,46.8125,48.75,45.75,46.0,32.97566223144531,1809100,0.12,0.0
1998-06-01,46.0625,47.375,42.5,45.0,32.34282684326172,3008000,0.0,0.0
1998-07-01,44.75,51.25,43.9375,49.5,35.57712936401367,2965400,0.0,0.0
1998-08-01,49.375,50.875,42.125,42.625,30.635848999023438,2732900,0.0,0.0
1998-09-01,43.0,47.0625,41.6875,43.1875,31.040130615234375,2726400,0.13,0.0
1998-10-01,43.0625,49.6875,38.625,49.0625,35.36976623535156,4853600,0.0,0.0
1998-11-01,49.3125,50.25,46.5,48.5,34.9642448425293,1244700,0.13,0.0
1998-12-01,48.5625,62.1875,48.3125,62.1875,44.953495025634766,3424500,0.0,0.0
1999-01-01,61.0,61.0,52.375,53.0,38.31211471557617,2434100,0.0,0.0
1999-02-01,52.875,53.375,49.1875,51.3125,37.092262268066406,1530600,0.13,0.0
1999-03-01,51.3125,58.75,49.875,57.0625,41.35239028930664,2791900,0.0,0.0
1999-04-01,56.125,65.625,55.25,61.8125,44.79465103149414,3100500,0.0,0.0
1999-05-01,62.0625,68.125,60.4375,60.625,43.934078216552734,2612300,0.13,0.0
1999-06-01,60.625,60.875,54.875,59.0,42.846290588378906,2834300,0.0,0.0
1999-07-01,59.25,60.375,54.4375,54.4375,39.53297424316406,2015800,0.0,0.0
1999-08-01,54.6875,55.1875,45.625,45.625,33.133270263671875,3899300,0.13,0.0
1999-09-01,45.75,46.375,35.25,39.9375,29.08193016052246,8472900,0.0,0.0
1999-10-01,39.875,41.25,36.25,38.9375,28.35374641418457,6024700,0.0,0.0
1999-11-01,38.6875,42.0,36.75,37.9375,27.625568389892578,3656800,0.13,0.0
1999-12-01,37.8125,42.625,35.375,41.0,29.955158233642578,5488600,0.0,0.0
2000-01-01,41.125,50.0,39.25,42.0,30.685775756835938,4652700,0.0,0.0
2000-02-01,42.125,44.75,35.5,35.5,25.936790466308594,3554000,0.13,0.0
2000-03-01,35.5625,49.125,35.5625,47.5,34.82756423950195,4524900,0.0,0.0
2000-04-01,47.5,55.25,44.25,53.0,38.86021423339844,3717700,0.0,0.0
2000-05-01,53.0,54.9375,48.375,48.9375,35.88153839111328,3092300,0.13,0.0
2000-06-01,49.125,50.75,40.3125,40.453125,29.73940658569336,4974000,0.0,0.0
2000-07-01,40.5,45.125,40.3125,42.1875,31.014446258544922,5050400,0.0,0.0
2000-08-01,42.0625,47.1875,37.625,40.0,29.406288146972656,5586000,0.14,0.0
2000-09-01,40.0,40.1875,34.70000076293945,38.279998779296875,28.24065589904785,5348000,0.0,0.0
2000-10-01,38.279998779296875,38.4900016784668,31.649999618530273,38.400001525878906,28.329185485839844,5294000,0.0,0.0
2000-11-01,38.400001525878906,41.349998474121094,38.0,39.380001068115234,29.052167892456055,2665000,0.14,0.0
2000-12-01,39.380001068115234,44.2400016784668,37.099998474121094,42.29999923706055,31.31606101989746,3399800,0.0,0.0
2001-01-01,42.29999923706055,44.75,38.0,42.369998931884766,31.367895126342773,3124400,0.0,0.0
2001-02-01,42.400001525878906,47.400001525878906,42.0099983215332,45.95000076293945,34.018280029296875,2576800,0.14,0.0
2001-03-01,45.900001525878906,47.45000076293945,41.0,42.70000076293945,31.706636428833008,3231000,0.0,0.0
2001-04-01,42.79999923706055,46.880001068115234,41.400001525878906,45.970001220703125,34.1347541809082,3624800,0.0,0.0
2001-05-01,45.970001220703125,51.599998474121094,45.25,49.369998931884766,36.659423828125,6469000,0.14,0.0
2001-06-01,48.84000015258789,49.5,44.86000061035156,49.4900016784668,36.85422897338867,4175400,0.0,0.0
2001-07-01,49.38999938964844,50.38999938964844,41.400001525878906,44.08000183105469,32.82554244995117,5097000,0.0,0.0
2001-08-01,44.33000183105469,44.45000076293945,38.79999923706055,39.5,29.41489028930664,5515500,0.14,0.0
2001-09-01,39.5,42.599998474121094,34.75,39.11000061035156,29.22703742980957,5849300,0.0,0.0
2001-10-01,39.150001525878906,43.400001525878906,37.900001525878906,39.91999816894531,29.832345962524414,5188300,0.0,0.0
2001-11-01,40.400001525878906,46.20000076293945,39.5,42.5,31.760391235351562,3037400,0.14,0.0
2001-12-01,42.5,46.599998474121094,42.099998474121094,46.599998474121094,34.936180114746094,2116200,0.0,0.0
2002-01-01,46.61000061035156,49.33000183105469,39.88999938964844,40.77000045776367,30.565410614013672,5928600,0.0,0.0
2002-02-01,40.779998779296875,42.70000076293945,39.02000045776367,41.75,31.300140380859375,3918100,0.14,0.0
2002-03-01,41.70000076293945,43.970001220703125,40.29999923706055,42.220001220703125,31.759380340576172,3765000,0.0,0.0
2002-04-01,42.0,43.599998474121094,37.150001525878906,38.959999084472656,29.307079315185547,5756900,0.0,0.0
2002-05-01,39.20000076293945,41.84000015258789,38.5099983215332,40.0,30.089405059814453,4633500,0.14,0.0
2002-06-01,40.099998474121094,41.619998931884766,38.0,39.0,29.43865203857422,3815000,0.0,0.0
2002-07-01,39.0,39.099998474121094,32.33000183105469,38.33000183105469,28.932912826538086,5978900,0.0,0.0
2002-08-01,38.20000076293945,38.29999923706055,35.220001220703125,36.63999938964844,27.657251358032227,3811900,0.15,0.0
2002-09-01,36.38999938964844,39.0,32.47999954223633,32.56999969482422,24.68334197998047,4776000,0.0,0.0
2002-10-01,31.860000610351562,32.95000076293945,27.299999237060547,27.84000015258789,21.09868621826172,8947800,0.0,0.0
2002-11-01,27.899999618530273,31.920000076293945,27.5,31.520000457763672,23.88758659362793,4067800,0.15,0.0
2002-12-01,31.520000457763672,32.18000030517578,29.450000762939453,30.65999984741211,23.349660873413086,3680400,0.0,0.0
2003-01-01,30.760000228881836,32.0099983215332,27.489999771118164,29.200000762939453,22.237777709960938,3310800,0.0,0.0
2003-02-01,29.209999084472656,29.389999389648438,27.059999465942383,27.579999923706055,21.004039764404297,2660000,0.15,0.0
2003-03-01,27.579999923706055,29.149999618530273,26.100000381469727,27.610000610351562,21.139284133911133,4990900,0.0,0.0
2003-04-01,27.809999465942383,30.110000610351562,27.360000610351562,29.56999969482422,22.639942169189453,4425100,0.0,0.0
2003-05-01,29.459999084472656,34.279998779296875,28.5,34.209999084472656,26.1924991607666,5015900,0.18,0.0
2003-06-01,34.20000076293945,38.04999923706055,33.61000061035156,33.61000061035156,25.872011184692383,5849300,0.0,0.0
2003-07-01,33.619998931884766,39.0,33.099998474121094,38.29999923706055,29.482221603393555,6008800,0.0,0.0
2003-08-01,38.04999923706055,38.70000076293945,37.08000183105469,38.22999954223633,29.4283447265625,3983900,0.18,0.0
2003-09-01,38.27000045776367,39.970001220703125,36.20000076293945,36.45000076293945,28.191526412963867,4182400,0.0,0.0
2003-10-01,36.70000076293945,42.400001525878906,36.45000076293945,40.970001220703125,31.68743133544922,3615100,0.0,0.0
2003-11-01,41.06999969482422,43.08000183105469,41.06999969482422,42.56999969482422,32.92491149902344,2904600,0.18,0.0
2003-12-01,42.79999923706055,48.0,42.79999923706055,46.970001220703125,36.48430633544922,3256100,0.0,0.0
2004-01-01,47.099998474121094,50.689998626708984,45.099998474121094,46.0,35.73081970214844,5476000,0.0,0.0
2004-02-01,46.0,49.09000015258789,43.84000015258789,49.09000015258789,38.131019592285156,4101900,0.18,0.0
2004-03-01,49.06999969482422,49.38999938964844,44.15999984741211,46.15999984741211,35.992576599121094,3456700,0.0,0.0
2004-04-01,46.279998779296875,47.40999984741211,43.08000183105469,43.25,33.723541259765625,4179200,0.0,0.0
2004-05-01,43.20000076293945,44.279998779296875,41.310001373291016,42.83000183105469,33.39606857299805,4343100,0.18,0.0
2004-06-01,42.880001068115234,45.08000183105469,42.650001525878906,44.33000183105469,34.709877014160156,3815500,0.0,0.0
2004-07-01,44.630001068115234,44.75,41.27000045776367,43.75,34.25575256347656,3631200,0.0,0.0
2004-08-01,43.70000076293945,45.790000915527344,41.4900016784668,44.9900016784668,35.226661682128906,5261400,0.2,0.0
2004-09-01,44.9900016784668,46.40999984741211,43.38999938964844,45.27000045776367,35.60198974609375,3584500,0.0,0.0
2004-10-01,45.650001525878906,46.689998626708984,43.36000061035156,45.529998779296875,35.80644607543945,3938600,0.0,0.0
2004-11-01,46.0,50.970001220703125,45.810001373291016,50.25,39.518436431884766,6069400,0.2,0.0
2004-12-01,50.349998474121094,53.90999984741211,49.2599983215332,53.65999984741211,42.369564056396484,5200400,0.0,0.0
2005-01-01,53.63999938964844,54.5,49.720001220703125,54.02000045776367,42.65380859375,5580300,0.0,0.0
2005-02-01,54.02000045776367,57.97999954223633,53.90999984741211,57.68000030517578,45.54372024536133,5065600,0.2,0.0
2005-03-01,57.68000030517578,58.369998931884766,54.369998931884766,55.91999816894531,44.3092041015625,4985900,0.0,0.0
2005-04-01,56.150001525878906,57.91999816894531,54.09000015258789,54.9900016784668,43.572303771972656,4951200,0.0,0.0
2005-05-01,55.75,62.099998474121094,54.959999084472656,61.04999923706055,48.374061584472656,5543900,0.2,0.0
2005-06-01,61.04999923706055,70.16000366210938,61.02000045776367,69.12000274658203,54.94639587402344,7209400,0.0,0.0
2005-07-01,69.25,74.2300033569336,67.08999633789062,72.69000244140625,57.78435516357422,9611800,0.0,0.0
2005-08-01,71.0,73.69999694824219,65.0199966430664,72.31999969482422,57.490196228027344,9158300,0.23,0.0
2005-09-01,72.0999984741211,79.04000091552734,69.8499984741211,78.45999908447266,62.58882522583008,9580600,0.0,0.0
2005-10-01,78.70999908447266,81.73999786376953,71.43000030517578,78.91000366210938,62.94776153564453,12537700,0.0,0.0
2005-11-01,75.5,79.44000244140625,70.5,75.11000061035156,59.91646194458008,13937500,0.23,0.0
2005-12-01,75.23999786376953,78.94999694824219,72.58999633789062,76.72000122070312,61.39205551147461,15786400,0.0,0.0
2006-01-01,76.72000122070312,87.05000305175781,76.26000213623047,84.77999877929688,67.84174346923828,7142000,0.0,0.0
2006-02-01,85.01000213623047,100.0,85.01000213623047,97.5,78.02041625976562,11019800,0.23,0.0
2006-03-01,97.51000213623047,107.75,94.9000015258789,107.02999877929688,85.84666442871094,10261300,0.0,0.0
2006-04-01,107.41000366210938,113.69000244140625,101.95999908447266,106.16000366210938,85.14886474609375,9882400,0.0,0.0
2006-05-01,106.80000305175781,108.72000122070312,84.7699966430664,91.51000213623047,73.39837646484375,18141100,0.23,0.0
2006-06-01,91.5199966430664,95.1500015258789,76.9000015258789,91.1500015258789,73.290771484375,20772400,0.0,0.0
2006-07-01,91.75,92.0999984741211,74.05000305175781,80.5199966430664,64.74352264404297,18375500,0.0,0.0
2006-08-01,77.51000213623047,88.37999725341797,76.23999786376953,82.36000061035156,66.2230224609375,20112400,0.275,0.0
2006-09-01,83.0,86.6500015258789,75.87000274658203,84.62000274658203,68.26770782470703,23815800,0.0,0.0
2006-10-01,84.62000274658203,93.8499984741211,83.61000061035156,88.0,70.9945297241211,22562400,0.0,0.0
2006-11-01,89.4000015258789,99.80000305175781,86.88999938964844,99.30999755859375,80.11890411376953,19091000,0.275,0.0
2006-12-01,99.0,106.27999877929688,98.0,103.91000366210938,84.0746078491211,12764300,0.0,0.0
2007-01-01,104.75,115.76000213623047,98.91000366210938,115.41999816894531,93.387451171875,13289600,0.0,0.0
2007-02-01,116.6500015258789,134.3000030517578,114.62000274658203,125.31999969482422,101.39765930175781,17010700,0.275,0.0
2007-03-01,122.23999786376953,137.27000427246094,118.8499984741211,135.1999969482422,109.6198959350586,16693400,0.0,0.0
2007-04-01,135.25999450683594,151.47000122070312,131.63999938964844,145.82000732421875,118.23058319091797,14548100,0.0,0.0
2007-05-01,144.57000732421875,157.97999572753906,139.17999267578125,155.44000244140625,126.03047943115234,18581600,0.275,0.0
2007-06-01,157.1300048828125,170.25,151.49000549316406,162.02000427246094,131.60267639160156,16269300,0.0,0.0
2007-07-01,162.08999633789062,165.97000122070312,135.10000610351562,137.0,111.27987670898438,18816700,0.0,0.0
2007-08-01,137.0,139.3000030517578,116.5199966430664,135.0,109.65533447265625,28860800,0.345,0.0
2007-09-01,135.0,137.64999389648438,125.16000366210938,133.5500030517578,108.7687759399414,18211100,0.0,0.0
2007-10-01,134.10000610351562,144.27999877929688,118.5199966430664,129.35000610351562,105.34814453125,19455600,0.0,0.0
2007-11-01,127.68000030517578,138.60000610351562,114.4000015258789,134.5500030517578,109.58321380615234,20063900,0.345,0.0
2007-12-01,134.7100067138672,142.7100067138672,128.2899932861328,132.60000610351562,108.30406188964844,9075900,0.0,0.0
2008-01-01,132.5399932861328,132.5399932861328,99.0,123.27999877929688,100.69178009033203,23216200,0.0,0.0
2008-02-01,120.83000183105469,123.0,104.05999755859375,107.5999984741211,87.8847885131836,16406000,0.345,0.0
2008-03-01,107.4000015258789,114.79000091552734,95.0199966430664,106.16999816894531,86.97846984863281,17950000,0.0,0.0
2008-04-01,105.66999816894531,115.45999908447266,102.87000274658203,109.37999725341797,89.60824584960938,11989100,0.0,0.0
2008-05-01,109.41999816894531,125.19000244140625,107.72000122070312,116.69000244140625,95.5968246459961,13295200,0.345,0.0
2008-06-01,116.25,118.41000366210938,102.16000366210938,103.58999633789062,85.11498260498047,10226400,0.0,0.0
2008-07-01,102.2699966430664,115.80000305175781,90.05000305175781,104.97000122070312,86.24887084960938,14291700,0.0,0.0
2008-08-01,107.66999816894531,118.04000091552734,98.0999984741211,112.9000015258789,92.76459503173828,12842800,0.4,0.0
2008-09-01,115.88999938964844,124.97000122070312,100.16000366210938,111.9800033569336,92.34996795654297,16802900,0.0,0.0
2008-10-01,110.93000030517578,110.93000030517578,62.849998474121094,78.37999725341797,64.6400146484375,24123800,0.0,0.0
2008-11-01,78.4000015258789,88.4800033569336,58.619998931884766,87.63999938964844,72.27674865722656,16060400,0.4,0.0
2008-12-01,85.70999908447266,108.48999786376953,75.7699966430664,97.08000183105469,80.46604919433594,19959700,0.0,0.0
2009-01-01,98.75,105.48999786376953,79.12000274658203,80.5199966430664,66.74008178710938,20928800,0.0,0.0
2009-02-01,79.2699966430664,87.66999816894531,67.25,76.55999755859375,63.45777893066406,15852300,0.4,0.0
2009-03-01,75.0,84.43000030517578,68.0,79.30000305175781,66.08245086669922,16341400,0.0,0.0
2009-04-01,77.88999938964844,93.94999694824219,76.77999877929688,84.02999877929688,70.02404022216797,12334200,0.0,0.0
2009-05-01,83.37999725341797,96.69999694824219,77.30000305175781,81.47000122070312,67.8907241821289,11981700,0.0,0.0
2009-06-01,83.0199966430664,87.19000244140625,75.72000122070312,78.87999725341797,65.7324447631836,15397800,0.4,0.0
2009-07-01,79.70999908447266,89.69999694824219,73.77999877929688,86.06999969482422,72.06719970703125,13092000,0.0,0.0
2009-08-01,87.1500015258789,92.33999633789062,82.7300033569336,87.58000183105469,73.33154296875,7550000,0.4,0.0
2009-09-01,87.18000030517578,103.44000244140625,84.4000015258789,92.06999969482422,77.44108581542969,9136700,0.0,0.0
2009-10-01,94.0,96.87000274658203,82.38999938964844,83.31999969482422,70.08136749267578,8617700,0.0,0.0
2009-11-01,83.38999938964844,89.79000091552734,77.36000061035156,85.29000091552734,71.73834991455078,12976800,0.4,0.0
2009-12-01,86.0,94.80000305175781,81.41999816894531,89.41000366210938,75.55301666259766,7929500,0.0,0.0
2010-01-01,90.05999755859375,93.43000030517578,78.12999725341797,79.18000030517578,66.90850830078125,11833600,0.0,0.0
2010-02-01,79.66000366210938,82.58000183105469,74.0,79.22000122070312,66.94226837158203,12024800,0.4,0.0
2010-03-01,79.44000244140625,90.22000122070312,77.37999725341797,83.55000305175781,70.9478530883789,16263100,0.0,0.0
2010-04-01,83.9000015258789,99.23999786376953,83.52999877929688,95.87999725341797,81.41807556152344,19665400,0.0,0.0
2010-05-01,92.70999908447266,100.33000183105469,83.77999877929688,93.2300033569336,79.16777801513672,22446100,0.0,0.0
2010-06-01,92.73999786376953,95.30000305175781,83.54000091552734,84.80999755859375,72.01779174804688,14227400,0.4,0.0
2010-07-01,84.6500015258789,88.88999938964844,80.80999755859375,85.4000015258789,72.82548522949219,13339800,0.0,0.0
2010-08-01,87.08000183105469,88.72000122070312,71.5,73.19999694824219,62.42182922363281,14561900,0.4,0.0
2010-09-01,74.0999984741211,80.68000030517578,73.9800033569336,76.97000122070312,65.98790740966797,9328700,0.0,0.0
2010-10-01,77.87999725341797,81.70999908447266,76.94000244140625,80.4800033569336,68.99711608886719,8327000,0.0,0.0
2010-11-01,81.47000122070312,89.87999725341797,79.54000091552734,84.54000091552734,72.47784423828125,7445600,0.4,0.0
2010-12-01,85.62000274658203,95.0,85.62000274658203,92.23999786376953,79.45246887207031,6371000,0.0,0.0
