Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,0.0,12.59375,11.40625,12.5625,3.2763776779174805,3436400,0.0,0.0
1985-02-01,0.0,13.0,12.53125,12.6875,3.3089802265167236,3012800,0.0,0.0
1985-03-01,0.0,12.8125,12.21875,12.28125,3.2030279636383057,2315600,0.0,0.0
1985-04-01,0.0,14.25,12.25,14.21875,3.7083375453948975,5614800,0.0,0.0
1985-05-01,0.0,15.15625,14.15625,14.59375,3.8061418533325195,4281600,0.0,0.0
1985-06-01,0.0,15.46875,14.4375,15.1875,3.9609954357147217,2137600,0.0,0.0
1985-07-01,0.0,16.125,13.3125,14.5625,3.7979907989501953,5487600,0.0,2.0
1985-08-01,0.0,15.125,14.3125,15.0,3.912095069885254,3494600,0.0,0.0
1985-09-01,0.0,15.0625,13.25,13.25,3.4556846618652344,4043800,0.0,0.0
1985-10-01,0.0,15.1875,13.125,15.1875,3.9609954357147217,4107600,0.0,0.0
1985-11-01,0.0,17.8125,15.25,17.5,4.564111232757568,3507400,0.0,0.0
1985-12-01,0.0,17.5625,16.4375,17.5,4.564111232757568,5158200,0.0,0.0
1986-01-01,0.0,19.1875,17.4375,19.0,4.955320358276367,4185400,0.0,0.0
1986-02-01,0.0,21.875,18.4375,21.3125,5.55843448638916,4521000,0.0,0.0
1986-03-01,0.0,23.375,21.125,22.0,5.737736701965332,4820000,0.0,0.0
1986-04-01,0.0,22.6875,20.5625,20.875,5.444329738616943,5303200,0.0,0.0
1986-05-01,0.0,22.9375,20.625,22.75,5.933343887329102,5343800,0.0,0.0
1986-06-01,0.0,22.875,21.75,22.3125,5.819240570068359,2815800,0.0,0.0
1986-07-01,0.0,24.125,22.1875,22.875,5.965946197509766,5206400,0.0,0.0
1986-08-01,0.0,25.5,22.625,25.1875,6.569058895111084,3684600,0.0,0.0
1986-09-01,0.0,25.4375,20.5625,22.0,5.737736701965332,4700600,0.0,0.0
1986-10-01,0.0,22.3125,20.9375,21.4375,5.591035842895508,3816000,0.0,0.0
1986-11-01,0.0,21.8125,20.25,20.5625,5.362830638885498,3752200,0.0,0.0
1986-12-01,0.0,22.3125,20.3125,20.625,5.379129886627197,5580400,0.19,0.0
1987-01-01,0.0,23.5,20.75,21.5625,5.676084041595459,5611800,0.0,0.0
1987-02-01,0.0,24.3125,21.5,24.1875,6.3670878410339355,6595000,0.0,0.0
1987-03-01,0.0,24.625,22.5625,22.875,6.021585941314697,6397200,0.19,0.0
1987-04-01,0.0,24.3125,22.3125,23.3125,6.184715270996094,7559600,0.0,0.0
1987-05-01,0.0,23.5625,21.625,22.6875,6.0189056396484375,5001600,0.0,0.0
1987-06-01,0.0,24.625,22.5,24.25,6.433424949645996,7988200,0.21,0.0
1987-07-01,0.0,24.5,22.375,22.75,6.091876029968262,4615000,0.0,0.0
1987-08-01,0.0,25.5,21.6875,25.25,6.761312484741211,10832400,0.21,0.0
1987-09-01,0.0,25.375,22.3125,23.0625,6.227088928222656,10939400,0.0,0.0
1987-10-01,0.0,24.4375,18.0,18.4375,4.978293418884277,8542800,0.0,0.0
1987-11-01,0.0,19.6875,17.5,18.25,4.927669525146484,3400800,0.21,0.0
1987-12-01,0.0,19.125,16.625,18.625,5.084936618804932,4759000,0.0,0.0
1988-01-01,0.0,21.875,18.25,21.5,5.869863033294678,3126200,0.0,0.0
1988-02-01,0.0,21.75,20.5,21.0,5.733353137969971,3202800,0.21,0.0
1988-03-01,0.0,21.75,19.1875,19.4375,5.360046863555908,3553600,0.0,0.0
1988-04-01,0.0,22.125,18.875,21.6875,5.980507850646973,6885200,0.0,0.0
1988-05-01,0.0,22.4375,21.4375,21.5625,5.946033477783203,6653800,0.235,0.0
1988-06-01,0.0,23.125,21.5625,22.1875,6.1854071617126465,8691000,0.0,0.0
1988-07-01,0.0,23.25,21.1875,22.625,6.307374000549316,4379400,0.0,0.0
1988-08-01,0.0,23.1875,21.75,21.875,6.098285675048828,3947400,0.0,0.0
1988-09-01,0.0,22.0625,21.25,21.625,6.028594493865967,10035600,0.235,0.0
1988-10-01,21.875,21.875,20.5625,20.875,5.8842034339904785,5502600,0.0,0.0
1988-11-01,20.9375,21.375,19.6875,20.5,5.778497219085693,6424200,0.235,0.0
