Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,17.875,18.375,17.75,17.75,2.9430980682373047,149600,0.0,0.0
1985-02-01,17.75,20.125,17.5,18.875,3.1296346187591553,379200,0.0,0.0
1985-03-01,18.875,21.75,18.625,21.375,3.5441548824310303,663800,0.0,0.0
1985-04-01,21.375,21.625,20.5,20.625,3.41979718208313,217400,0.0,0.0
1985-05-01,20.5,21.125,19.0,20.875,3.4612514972686768,523500,0.0,0.0
1985-06-01,20.875,21.25,20.5,21.25,3.5234286785125732,382100,0.0,0.0
1985-07-01,21.25,21.25,20.0,20.25,3.3576173782348633,369900,0.0,0.0
1985-08-01,20.25,20.25,19.0,20.25,3.3576173782348633,346800,0.0,0.0
1985-09-01,20.25,20.5,19.0,19.0,3.1503567695617676,187200,0.0,0.0
1985-10-01,19.0,20.0,19.0,19.25,3.1918110847473145,337100,0.0,0.0
1985-11-01,19.25,20.125,18.5,18.75,3.1089072227478027,395600,0.0,0.0
1985-12-01,18.75,19.0,16.625,18.25,3.026001214981079,511600,0.0,0.0
1986-01-01,18.25,19.375,17.125,18.0,2.984550714492798,383200,0.0,0.0
1986-02-01,18.125,18.875,17.5,18.0,2.984550714492798,391600,0.0,0.0
1986-03-01,18.0,20.5,17.625,20.25,3.3576173782348633,682000,0.0,0.0
1986-04-01,20.25,20.375,19.625,19.75,3.2747154235839844,469200,0.0,0.0
1986-05-01,19.75,20.0,14.0,14.125,2.342043161392212,906100,0.0,0.0
1986-06-01,14.125,15.25,13.875,14.75,2.4456732273101807,697600,0.0,0.0
1986-07-01,14.75,16.0,14.625,15.125,2.5078516006469727,525000,0.0,0.0
1986-08-01,15.125,16.75,14.75,16.5,2.735837697982788,406300,0.0,0.0
1986-09-01,16.5,16.875,15.875,16.75,2.7772905826568604,378500,0.0,0.0
1986-10-01,16.75,17.0,16.0,16.375,2.7151119709014893,388200,0.0,0.0
1986-11-01,16.375,16.75,15.75,16.0,2.652933359146118,256300,0.0,0.0
1986-12-01,16.0,16.125,15.0,15.125,2.5078516006469727,356600,0.0,0.0
1987-01-01,15.125,15.875,14.875,15.125,2.5078516006469727,378100,0.0,0.0
1987-02-01,15.125,15.75,15.0,15.5,2.5700314044952393,436900,0.0,0.0
1987-03-01,15.5,15.75,14.875,15.0,2.4871246814727783,458100,0.0,0.0
1987-04-01,15.0,15.5,14.25,15.125,2.5078516006469727,275900,0.0,0.0
1987-05-01,15.125,15.125,13.875,14.25,2.362769365310669,226700,0.0,0.0
1987-06-01,14.125,14.5,13.75,14.375,2.3834950923919678,338500,0.0,0.0
1987-07-01,14.375,14.75,13.5,14.75,2.4456732273101807,252900,0.0,0.0
1987-08-01,14.75,14.875,13.875,14.0,2.3213162422180176,233000,0.0,0.0
1987-09-01,14.0,14.25,12.25,13.125,2.1762351989746094,351000,0.0,0.0
1987-10-01,13.125,13.125,10.0,10.75,1.7824398279190063,685000,0.0,0.0
1987-11-01,10.75,12.5,10.75,11.625,1.927523136138916,424000,0.0,0.0
1987-12-01,11.625,11.625,10.25,10.75,1.7824398279190063,506000,0.0,0.0
1988-01-01,10.875,13.125,10.75,13.0,2.155508518218994,227400,0.0,0.0
1988-02-01,13.0,13.125,12.0,12.25,2.031151294708252,166900,0.35,0.0
1988-03-01,12.125,12.375,11.25,11.625,1.9813861846923828,200300,0.0,0.0
1988-04-01,11.5,11.875,11.375,11.75,2.002689838409424,148300,0.0,0.0
1988-05-01,11.625,12.0,10.875,11.125,1.8961650133132935,150500,0.35,0.0
1988-06-01,11.125,11.375,10.875,11.0,1.9324207305908203,152800,0.0,0.0
