Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1992-03-01,2.59375,2.609375,2.34375,2.5,2.013364553451538,6006400,0.0,0.0
1992-04-01,2.4375,2.5625,2.25,2.25,1.8120265007019043,2617600,0.005,0.0
1992-05-01,2.3125,2.34375,1.75,1.875,1.5131264925003052,6155200,0.0,0.0
1992-06-01,1.84375,1.90625,1.46875,1.578125,1.2735480070114136,9204800,0.005,0.0
1992-07-01,1.59375,1.6875,1.4375,1.5625,1.2646853923797607,9128000,0.0,0.0
1992-08-01,1.5625,1.75,1.46875,1.46875,1.1888048648834229,6050400,0.0,0.0
1992-09-01,1.46875,2.25,1.46875,1.9375,1.5682103633880615,7527200,0.0,0.0
1992-10-01,2.0625,2.40625,1.9375,2.25,1.821146845817566,3660800,0.005,0.0
1992-11-01,2.25,2.53125,2.03125,2.25,1.8255723714828491,3156000,0.0,0.0
1992-12-01,2.25,2.46875,2.1875,2.25,1.8255723714828491,1151200,0.0,0.0
1993-01-01,2.21875,3.15625,2.21875,3.125,2.535517692565918,14845600,0.005,0.0
1993-02-01,3.15625,3.96875,3.0,3.96875,3.2263283729553223,14822400,0.0,0.0
1993-03-01,3.96875,4.875,3.5,4.125,3.353349447250366,15954400,0.0,0.0
1993-04-01,4.125,4.8125,3.875,4.78125,3.886836290359497,6276000,0.0,0.0
1993-05-01,4.78125,6.984375,4.6875,6.625,5.385679244995117,8946400,0.005,0.0
1993-06-01,6.5625,6.78125,5.625,6.75,5.492966651916504,5348000,0.005,0.0
1993-07-01,6.46875,7.75,6.46875,7.6875,6.260517597198486,5554400,0.0,0.0
1993-08-01,7.65625,9.0,7.3125,8.75,7.125792503356934,5984000,0.0075,0.0
1993-09-01,8.75,9.75,8.125,9.0625,7.386654853820801,5349600,0.0,2.0
1993-10-01,9.0625,9.5,7.375,8.75,7.131938457489014,6700000,0.0,0.0
1993-11-01,8.75,9.5,8.0,8.4375,6.877228260040283,5122800,0.0,0.0
1993-12-01,8.4375,9.375,6.875,8.125,6.622517108917236,7280400,0.0,0.0
1994-01-01,7.6875,8.5,5.5,6.3125,5.145185947418213,13276000,0.0075,0.0
1994-02-01,6.3125,7.75,5.9375,7.25,5.914781093597412,10658800,0.0,0.0
1994-03-01,7.25,8.125,6.25,6.75,5.506864070892334,6275600,0.0,0.0
1994-04-01,6.1875,6.5625,5.625,6.0625,4.945981502532959,3329600,0.0075,0.0
1994-05-01,6.0625,6.6875,5.5,5.8125,4.748215675354004,9044000,0.0,0.0
1994-06-01,5.625,7.0,5.5,6.5625,5.360888957977295,3555600,0.0,0.0
1994-07-01,6.125,6.8125,6.0625,6.75,5.5140557289123535,4090800,0.0075,0.0
1994-08-01,6.375,6.5625,4.5,5.46875,4.472517490386963,5714400,0.0,0.0
1994-09-01,5.75,6.3125,5.3125,5.984375,4.894213676452637,4195200,0.0,0.0
1994-10-01,5.75,6.5,5.5625,6.0,4.906990051269531,6040400,0.0125,0.0
1994-11-01,5.9375,7.1875,5.875,6.4375,5.275813102722168,4477200,0.0,0.0
1994-12-01,6.1875,6.8125,5.9375,6.3125,5.1733717918396,5011200,0.0,0.0
1995-01-01,6.1875,6.3125,5.25,5.4375,4.456268787384033,11147600,0.0125,0.0
1995-02-01,5.25,6.5625,5.25,6.25,5.132622718811035,4543600,0.0,0.0
1995-03-01,6.25,6.875,5.59375,6.71875,5.5175700187683105,3861200,0.0,0.0
1995-04-01,6.8125,7.0,6.4375,6.75,5.543233394622803,2049600,0.0125,0.0
1995-05-01,6.6875,8.8125,6.6875,8.0625,6.6332550048828125,6093200,0.0,0.0
1995-06-01,8.0625,9.5,8.0625,8.75,7.198877811431885,3168000,0.0,0.0
1995-07-01,8.765625,9.0,8.25,8.5625,7.044617652893066,3591600,0.0125,0.0
1995-08-01,8.6875,8.6875,8.375,8.5,7.003204822540283,2830800,0.0,0.0
1995-09-01,8.5,9.921875,8.5,9.6875,7.981591701507568,4316400,0.0,0.0
1995-10-01,9.625,9.6875,8.5625,9.0625,7.466656684875488,2559600,0.01875,0.0
1995-11-01,9.0625,10.125,8.6875,8.875,7.3277587890625,4124800,0.0,0.0
