Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-11-01,23.75,24.0,23.0,23.375,11.360587120056152,270600,0.0,0.0
1994-12-01,23.375,25.0,21.75,24.0,11.664346694946289,239800,0.0,0.0
1995-01-01,24.0,24.5,22.375,23.125,11.239083290100098,178400,0.0,0.0
1995-02-01,23.125,23.875,22.25,23.5,11.421338081359863,195000,0.0,0.0
1995-03-01,23.25,23.5,20.75,22.125,10.753069877624512,292000,0.0,0.0
1995-04-01,22.125,23.0,20.875,21.5,10.449304580688477,202200,0.0,0.0
1995-05-01,21.5,22.625,20.875,22.5,10.935324668884277,234200,0.0,0.0
1995-06-01,22.5,23.875,21.125,22.125,10.753069877624512,409600,0.0,0.0
1995-07-01,22.125,23.0,20.375,21.875,10.631559371948242,316600,0.0,0.0
1995-08-01,21.875,22.5,20.375,21.0,10.206308364868164,285600,0.0,0.0
1995-09-01,21.0,21.375,20.25,20.875,10.145552635192871,233800,0.0,0.0
1995-10-01,20.875,20.875,19.625,19.625,9.538031578063965,220200,0.0,0.0
1995-11-01,19.625,21.0,17.625,20.875,10.145552635192871,648400,0.0,0.0
1995-12-01,20.875,22.0,17.25,22.0,10.692314147949219,748200,0.0,0.0
1996-01-01,21.75,21.75,19.5,20.75,10.08480167388916,396800,0.0,0.0
1996-02-01,20.75,21.0,19.375,20.125,9.781041145324707,254400,0.0,0.0
1996-03-01,20.125,22.5,19.5,22.25,10.813823699951172,385800,0.0,0.0
1996-04-01,22.125,22.125,20.125,21.125,10.267051696777344,222200,0.0,0.0
1996-05-01,21.125,21.75,20.375,20.375,9.902546882629395,248400,0.0,0.0
1996-06-01,20.375,21.0,18.625,19.625,9.538031578063965,308800,0.0,0.0
1996-07-01,19.5,20.125,17.75,17.75,8.626755714416504,301400,0.0,0.0
1996-08-01,17.75,18.25,16.25,16.5,8.019237518310547,294600,0.0,0.0
1996-09-01,16.5,17.875,16.125,17.0,8.262242317199707,316600,0.0,0.0
1996-10-01,17.0,17.625,16.375,16.5,8.019237518310547,283600,0.0,0.0
1996-11-01,16.5,18.375,16.375,18.0,8.748259544372559,264400,0.0,0.0
1996-12-01,18.0,18.875,17.0,17.625,8.566004753112793,381800,0.0,0.0
1997-01-01,17.625,18.625,17.0,17.5,8.505252838134766,323400,0.0,0.0
1997-02-01,17.5,18.625,16.5,16.625,8.079992294311523,405200,0.0,0.0
1997-03-01,16.625,19.375,16.375,16.625,8.079992294311523,487400,0.0,0.0
1997-04-01,16.625,17.75,16.0,17.5,8.505252838134766,318200,0.0,0.0
1997-05-01,17.375,19.375,16.375,19.375,9.416532516479492,343200,0.0,0.0
1997-06-01,19.375,22.375,18.875,21.75,10.570816993713379,582400,0.0,0.0
1997-07-01,21.875,24.125,20.0,24.125,11.72510051727295,580800,0.0,0.0
1997-08-01,24.125,26.875,22.25,26.375,12.81863021850586,675400,0.0,0.0
1997-09-01,26.625,28.25,25.5,27.75,13.486897468566895,653600,0.0,0.0
1997-10-01,27.75,30.0,24.5,27.25,13.243894577026367,627000,0.0,0.0
1997-11-01,27.25,27.875,23.875,24.75,12.028861045837402,381000,0.0,0.0
1997-12-01,24.75,25.625,23.375,23.625,11.482090950012207,364800,0.0,0.0
1998-01-01,23.625,25.625,23.625,25.625,12.454117774963379,293600,0.0,0.0
1998-02-01,25.625,28.125,25.625,26.625,12.9401273727417,260800,0.0,0.0
1998-03-01,26.5,28.0,24.875,26.125,12.697126388549805,357400,0.0,0.0
1998-04-01,26.125,26.625,23.5,24.5,11.907354354858398,678800,0.0,0.0
1998-05-01,24.5,25.5,23.75,23.75,11.542839050292969,552800,0.0,0.0
1998-06-01,23.75,25.0,22.75,24.75,12.028861045837402,446400,0.0,0.0
1998-07-01,24.75,25.125,23.5,23.75,11.542839050292969,340400,0.0,0.0
1998-08-01,23.75,24.625,21.5,21.625,10.510062217712402,330600,0.0,0.0
1998-09-01,21.625,23.625,21.375,21.5,10.449304580688477,323000,0.0,0.0
1998-10-01,21.5,22.375,20.125,22.0,10.692314147949219,409000,0.0,0.0
1998-11-01,22.125,24.625,22.125,23.25,11.299832344055176,296400,0.0,0.0
1998-12-01,23.25,24.75,21.875,24.75,12.028861045837402,408400,0.0,0.0
1999-01-01,24.75,25.625,24.5,25.0,12.150361061096191,460400,0.0,0.0
1999-02-01,24.75,24.75,22.875,23.75,11.542839050292969,444200,0.0,0.0
1999-03-01,23.75,24.0,21.625,22.25,10.813823699951172,496200,0.0,0.0
1999-04-01,22.25,22.625,20.5,21.5,10.449304580688477,375600,0.0,0.0
1999-05-01,21.5,22.5,20.0,20.625,10.0240478515625,413800,0.0,0.0
1999-06-01,20.625,22.875,20.375,22.25,10.813823699951172,618800,0.0,0.0
1999-07-01,22.25,25.75,22.25,24.125,11.72510051727295,557600,0.0,0.0
1999-08-01,24.125,24.125,22.625,23.0,11.178338050842285,244000,0.0,0.0
1999-09-01,23.0,23.5,21.0,21.125,10.267051696777344,361000,0.0,0.0
1999-10-01,21.125,21.875,19.5,19.875,9.659540176391602,284400,0.0,0.0
1999-11-01,19.875,21.375,19.75,20.125,9.781041145324707,419400,0.0,0.0
1999-12-01,20.125,20.25,18.375,19.5,9.477283477783203,362800,0.0,0.0
2000-01-01,19.5,19.625,17.0,17.5,8.505252838134766,374800,0.0,0.0
2000-02-01,17.5,18.5,16.625,17.125,8.322998046875,266200,0.0,0.0
2000-03-01,17.125,18.375,15.0,18.0,8.748259544372559,474400,0.0,0.0
2000-04-01,18.0,18.25,15.5,16.0,7.776233196258545,291200,0.0,0.0
2000-05-01,16.0,18.25,15.75,17.625,8.566004753112793,784400,0.0,0.0
2000-06-01,17.75,19.25,17.25,19.25,9.3557767868042,481000,0.0,0.0
2000-07-01,19.25,19.5,17.625,18.0,8.748259544372559,293400,0.0,0.0
2000-08-01,18.0,19.3125,17.875,19.1875,9.325397491455078,407500,0.0,0.0
2000-09-01,19.3125,24.5625,19.25,24.3125,11.816224098205566,1302800,0.0,0.0
2000-10-01,24.5,25.0,21.0,22.25,10.813823699951172,1600400,0.0,0.0
2000-11-01,22.0,26.8125,21.625,24.0625,11.694718360900879,955100,0.16,0.0
2000-12-01,24.1875,29.0,23.9375,27.950000762939453,13.671602249145508,665900,0.0,0.0
2001-01-01,27.989999771118164,28.700000762939453,22.610000610351562,24.649999618530273,12.05742359161377,758100,0.0,0.0
2001-02-01,24.600000381469727,29.0,23.950000762939453,25.899999618530273,12.66886043548584,1083700,0.16,0.0
2001-03-01,26.049999237060547,26.850000381469727,24.850000381469727,26.200000762939453,12.88991928100586,570700,0.0,0.0
2001-04-01,26.25,26.350000381469727,24.5,26.15999984741211,12.870238304138184,379200,0.0,0.0
2001-05-01,26.15999984741211,27.770000457763672,24.93000030517578,25.020000457763672,12.309375762939453,594700,0.16,0.0
2001-06-01,25.020000457763672,26.100000381469727,23.90999984741211,26.0,12.869248390197754,735500,0.0,0.0
2001-07-01,26.149999618530273,27.739999771118164,25.100000381469727,27.149999618530273,13.438470840454102,569500,0.0,0.0
2001-08-01,27.200000762939453,28.0,26.350000381469727,27.979999542236328,13.84929084777832,577400,0.16,0.0
2001-09-01,27.979999542236328,28.799999237060547,23.899999618530273,25.649999618530273,12.771416664123535,412400,0.0,0.0
2001-10-01,25.600000381469727,36.099998474121094,25.0,33.45000076293945,16.655126571655273,2228900,0.0,0.0
2001-11-01,33.349998474121094,36.060001373291016,31.0,35.209999084472656,17.531444549560547,1451600,0.16,0.0
