Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-01-01,0.0,8.15625,6.15625,7.4375,6.875906944274902,13462800,0.0,0.0
1985-02-01,0.0,7.5625,6.5625,6.9375,6.413662910461426,11509600,0.0,0.0
1985-03-01,0.0,7.15625,5.4375,5.875,5.431390285491943,12969200,0.0,0.0
1985-04-01,0.0,6.34375,5.25,5.40625,4.998033046722412,8597200,0.0,0.0
1985-05-01,0.0,6.25,5.0,5.3125,4.911361217498779,11331200,0.0,0.0
1985-06-01,0.0,6.25,5.09375,5.875,5.431390285491943,9923600,0.0,0.0
1985-07-01,0.0,6.40625,5.375,6.0625,5.60473108291626,10315600,0.0,0.0
1985-08-01,0.0,6.21875,5.53125,5.71875,5.286937236785889,4821200,0.0,0.0
1985-09-01,0.0,5.75,5.0625,5.09375,4.709129333496094,4038400,0.0,0.0
1985-10-01,0.0,5.3125,4.28125,4.875,4.506898403167725,10274000,0.0,0.0
1985-11-01,0.0,5.6875,4.8125,5.40625,4.998033046722412,5750400,0.0,0.0
1985-12-01,0.0,6.375,5.34375,5.78125,5.344717502593994,10016400,0.0,0.0
1986-01-01,0.0,5.9375,5.34375,5.59375,5.171374320983887,6170800,0.0,0.0
1986-02-01,0.0,6.84375,5.5,6.4375,5.951414585113525,8757200,0.0,0.0
1986-03-01,0.0,6.46875,5.4375,6.21875,5.74918270111084,11535200,0.0,0.0
1986-04-01,0.0,7.40625,5.875,6.84375,6.326989650726318,10476400,0.0,0.0
1986-05-01,0.0,7.15625,6.3125,6.9375,6.413662910461426,9682400,0.0,0.0
1986-06-01,0.0,6.96875,5.1875,5.5,5.084704399108887,11306000,0.0,0.0
1986-07-01,0.0,5.84375,4.375,4.6875,4.333554267883301,11941200,0.0,0.0
1986-08-01,0.0,5.34375,4.59375,5.25,4.853580474853516,4495200,0.0,0.0
1986-09-01,0.0,5.625,4.125,4.3125,3.9868710041046143,8424000,0.0,0.0
1986-10-01,0.0,4.4375,3.90625,4.15625,3.842418670654297,5444000,0.0,0.0
1986-11-01,0.0,4.875,3.90625,4.125,3.8135287761688232,6619200,0.0,0.0
1986-12-01,0.0,4.5625,3.96875,4.09375,3.7846384048461914,6647600,0.0,0.0
1987-01-01,0.0,5.375,4.09375,4.90625,4.535787105560303,17092000,0.0,0.0
1987-02-01,0.0,6.125,4.9375,6.03125,5.575839996337891,10249200,0.0,0.0
1987-03-01,0.0,6.625,5.4375,5.90625,5.4602789878845215,9920800,0.0,0.0
1987-04-01,5.90625,6.8125,5.3125,6.75,6.240318775177002,11244000,0.0,0.0
1987-05-01,6.75,7.5625,6.125,7.375,6.818124771118164,17554000,0.0,0.0
1987-06-01,7.3125,7.3125,6.3125,6.5625,6.066977500915527,7479200,0.0,0.0
1987-07-01,6.625,7.1875,6.25,7.15625,6.615893840789795,7876400,0.0,0.0
1987-08-01,7.125,8.6875,6.6875,8.34375,7.713727951049805,11011200,0.0,0.0
1987-09-01,8.3125,8.75,7.375,8.5,7.858179569244385,7402400,0.0,0.0
1987-10-01,8.5,9.125,3.6875,4.9375,4.564678192138672,16026000,0.0,0.0
1987-11-01,5.0,5.0,3.34375,3.71875,3.437953472137451,16816800,0.0,0.0
1987-12-01,3.65625,4.4375,3.5625,4.03125,3.726857900619507,12558400,0.0,0.0
1988-01-01,4.09375,4.4375,3.125,3.15625,2.9179275035858154,12289600,0.0,0.0
1988-02-01,3.125,3.90625,3.0,3.59375,3.322391986846924,17799200,0.0,0.0
1988-03-01,3.625,4.28125,3.53125,4.0,3.697967052459717,13490800,0.0,0.0
